الشركة,"رقم الصف",التاريخ,النوع,الكمية,المشروع,المعدة,المرجع,الحالة
4,UNT-049358,2022-08-01,طن,0.00,"مشروع محمدالأمين النيل إبراهيم","DAEWOO K6DEF 2021",UAT-B07,converted
4,UNT-049359,2022-08-02,طن,0.00,"مشروع محمدالأمين النيل إبراهيم","DAEWOO K6DEF 2021",UAT-B07,converted
4,UNT-049360,2022-08-03,طن,0.00,"مشروع محمدالأمين النيل إبراهيم","DAEWOO K6DEF 2021",UAT-B07,converted
4,UNT-049361,2022-08-04,طن,0.00,"مشروع محمدالأمين النيل إبراهيم","DAEWOO K6DEF 2021",UAT-B07,converted
4,UNT-049362,2022-08-05,طن,0.00,"مشروع محمدالأمين النيل إبراهيم","DAEWOO K6DEF 2021",UAT-B07,converted
4,UNT-049363,2022-08-06,طن,0.00,"مشروع محمدالأمين النيل إبراهيم","DAEWOO K6DEF 2021",UAT-B07,converted
4,UNT-049364,2022-08-07,طن,0.00,"مشروع محمدالأمين النيل إبراهيم","DAEWOO K6DEF 2021",UAT-B07,converted
4,UNT-049365,2022-08-08,طن,0.00,"مشروع محمدالأمين النيل إبراهيم","DAEWOO K6DEF 2021",UAT-B07,converted
4,UNT-049366,2022-08-09,طن,0.00,"مشروع محمدالأمين النيل إبراهيم","DAEWOO K6DEF 2021",UAT-B07,converted
4,UNT-049367,2022-08-10,طن,0.00,"مشروع محمدالأمين النيل إبراهيم","DAEWOO K6DEF 2021",UAT-B07,converted
4,UNT-049368,2022-08-11,طن,0.00,"مشروع محمدالأمين النيل إبراهيم","DAEWOO K6DEF 2021",UAT-B07,converted
4,UNT-049369,2022-08-12,طن,0.00,"مشروع محمدالأمين النيل إبراهيم","DAEWOO K6DEF 2021",UAT-B07,converted
4,UNT-049370,2022-08-13,طن,0.00,"مشروع محمدالأمين النيل إبراهيم","DAEWOO K6DEF 2021",UAT-B07,converted
4,UNT-049371,2022-08-14,طن,0.00,"مشروع محمدالأمين النيل إبراهيم","DAEWOO K6DEF 2021",UAT-B07,converted
4,UNT-049372,2022-08-15,طن,0.00,"مشروع محمدالأمين النيل إبراهيم","DAEWOO K6DEF 2021",UAT-B07,converted
4,UNT-049373,2022-08-16,طن,0.00,"مشروع محمدالأمين النيل إبراهيم","DAEWOO K6DEF 2021",UAT-B07,converted
4,UNT-049374,2022-08-17,طن,0.00,"مشروع محمدالأمين النيل إبراهيم","DAEWOO K6DEF 2021",UAT-B07,converted
4,UNT-049375,2022-08-18,طن,0.00,"مشروع محمدالأمين النيل إبراهيم","DAEWOO K6DEF 2021",UAT-B07,converted
4,UNT-049376,2022-08-19,طن,0.00,"مشروع محمدالأمين النيل إبراهيم","DAEWOO K6DEF 2021",UAT-B07,converted
4,UNT-049377,2022-08-20,طن,0.00,"مشروع محمدالأمين النيل إبراهيم","DAEWOO K6DEF 2021",UAT-B07,converted
4,UNT-049378,2022-08-21,طن,0.00,"مشروع محمدالأمين النيل إبراهيم","DAEWOO K6DEF 2021",UAT-B07,converted
