"اسم الملف",العنوان,ظهورات,الإدارات,التكييف,"المرشَّح البديل",الدليل,الثقة
acc_budget_check.php,"فحص الموازنة والالتزام",1,"المالية والخزينة",REQUIRED_AND_MISSING,Finance/budget_dept.php,"مرشَّحٌ ضعيفٌ برمزٍ واحد",ضعيفة
acc_cost_alloc.php,"توزيع مراكز التكلفة",1,"المالية والخزينة",IMPLEMENTED_UNDER_OTHER_ROUTE,Financing/cost_allocation.php,"تداخلُ 2 كلمةً في **المعنى العربيّ** مع تسميةٍ حيّة","متوسطة — تحتاج حسمَ بشر"
acc_dept_budget.php,"ميزانية إدارتي",1,"المالية والخزينة",IMPLEMENTED_UNDER_OTHER_ROUTE,Finance/budget_form_fin.php,"التسميةُ «ميزانية إدارتي» حيّةٌ في التنقّلِ على مسارٍ آخر",عالية
acc_docs_check.php,"مراجعة المستندات",1,"المالية والخزينة",REQUIRED_AND_MISSING,main/check_username_availability.php,"مرشَّحٌ ضعيفٌ برمزٍ واحد",ضعيفة
acc_inbox.php,"المعاملات الواردة من الإدارات",1,"المالية والخزينة",IMPLEMENTED_UNDER_OTHER_ROUTE,Finance/import_events_fin.php,"تداخلُ 2 كلمةً في **المعنى العربيّ** مع تسميةٍ حيّة","متوسطة — تحتاج حسمَ بشر"
acc_myday.php,"عملي اليوم — محاسب الإدارة",1,"المالية والخزينة",IMPLEMENTED_UNDER_OTHER_ROUTE,Finance/acc_my_day.php,"تداخلُ 3 كلمةً في **المعنى العربيّ** مع تسميةٍ حيّة","متوسطة — تحتاج حسمَ بشر"
acc_returned.php,"المعاملات المعادة",1,"المالية والخزينة",REQUIRED_AND_MISSING,,,"لا مرشَّحَ آليّ"
acc_scope_events.php,"الأحداث المالية في نطاقي",1,"المالية والخزينة",IMPLEMENTED_UNDER_OTHER_ROUTE,Finance/events_list_fin.php,"تداخلُ 2 كلمةً في **المعنى العربيّ** مع تسميةٍ حيّة","متوسطة — تحتاج حسمَ بشر"
acc_spec_reports.php,"تقارير تخصصي المحاسبي",1,"المالية والخزينة",REQUIRED_AND_MISSING,admin/reports_permissions.php,"مرشَّحٌ ضعيفٌ برمزٍ واحد",ضعيفة
acc_treatment.php,"المعالجة المحاسبية المقترحة",1,"المالية والخزينة",REQUIRED_AND_MISSING,,,"لا مرشَّحَ آليّ"
