المعرف,وثيقته,"صنف الشاهد",الشاهد
AC-E01-01,E-01,كود,tools/update0008_audit.php
AC-E01-02,E-01,كود,tools/update0008_audit.php
AC-E01-03,E-01,كود,tools/update0008_audit.php
AC-E01-04,E-01,كود,tools/update0008_audit.php
AC-E01-05,E-01,كود,tools/update0008_audit.php
AC-E01-06,E-01,كود,tools/update0008_audit.php
AC-E02-01,E-02,كود,tools/update0008_audit.php
AC-E02-02,E-02,اختبار/حزام,tools/e02_checks.php
AC-E02-03,E-02,كود,tools/update0008_audit.php
AC-E02-04,E-02,كود,tools/update0008_audit.php
AC-E02-05,E-02,كود,tools/update0008_audit.php
AC-E02-06,E-02,كود,tools/update0008_audit.php
AC-E03-01,E-03,اختبار/حزام,tools/e03_checks.php
AC-E03-02,E-03,اختبار/حزام,tools/e03_checks.php
AC-E03-03,E-03,اختبار/حزام,tools/e03_checks.php
AC-E03-04,E-03,اختبار/حزام,tools/e03_checks.php
AC-E03-05,E-03,كود,tools/update0008_audit.php
AC-E03-06,E-03,كود,tools/update0008_audit.php
AC-E03-07,E-03,كود,tools/update0008_audit.php
AC-E04-01,E-04,كود,tools/update0008_audit.php
AC-E04-02,E-04,كود,tools/update0008_audit.php
AC-E04-03,E-04,كود,tools/update0008_audit.php
AC-E04-04,E-04,كود,tools/sod_sweep.php
AC-E04-05,E-04,كود,tools/update0008_audit.php
AC-E04-06,E-04,كود,tools/update0008_audit.php
AC-E05-01,E-05,كود,tools/update0008_audit.php
AC-E05-02,E-05,اختبار/حزام,tools/e05_checks.php
AC-E05-03,E-05,اختبار/حزام,tools/e05_checks.php
AC-E05-04,E-05,اختبار/حزام,tools/e05_checks.php
AC-E05-05,E-05,كود,tools/update0008_audit.php
AC-E06-01,E-06,كود,tools/update0008_audit.php
AC-E06-02,E-06,كود,tools/update0008_audit.php
AC-E06-03,E-06,كود,user_capacities.php
AC-E06-04,E-06,كود,tools/release_gate.php
AC-E06-05,E-06,كود,tools/update0008_audit.php
AC-E06-06,E-06,كود,tools/update0008_audit.php
AC-WFM-01,WFM-01,اختبار/حزام,tools/wfm_checks.php
AC-WFM-02,WFM-01,اختبار/حزام,tools/wfm_checks.php
AC-WFM-03,WFM-01,كود,tools/update0008_audit.php
AC-WFM-04,WFM-01,كود,tools/update0008_audit.php
AC-WFM-05,WFM-01,اختبار/حزام,tools/wfm_checks.php
AC-WFM-06,WFM-01,كود,tools/update0008_audit.php
AC-WFM-07,WFM-01,اختبار/حزام,tools/wfm_checks.php
AC-WFM-08,WFM-01,كود,tools/update0008_audit.php
AC-WFM-09,WFM-01,اختبار/حزام,tests/wfm_engine_test.php
AC-WFM-10,WFM-01,اختبار/حزام,tools/wfm_checks.php
AC-WFM-11,WFM-01,كود,tools/update0008_audit.php
AC-WFM-12,WFM-01,كود,tools/update0008_audit.php
AC-WFM-13,WFM-01,اختبار/حزام,tests/wfm_engine_test.php
AC-WFM-14,WFM-01,كود,tools/update0008_audit.php
AC-WFM-15,WFM-01,كود,tools/update0008_audit.php
BR-CEO-01,M-00-NEW·M-00,كود,tools/m00_audit.php
BR-CEO-02,M-00-NEW·M-00,اختبار/حزام,tools/cmp03_wave2_test.php
BR-CEO-03,M-00-NEW·M-00,كود,tools/m00_audit.php
BR-CEO-04,M-00-NEW·M-00,اختبار/حزام,tools/m00_events_http_test.php
BR-CEO-05,M-00-NEW·M-00,كود,tools/m00_audit.php
BR-CEO-06,M-00-NEW·M-00,كود,tools/m00_audit.php
BR-CEO-07,M-00-NEW·M-00,كود,tools/m00_audit.php
BR-CEO-08,M-00-NEW·M-00,كود,tools/m00_audit.php
BR-GOV-01,M-14,كود,tools/update0008_audit.php
BR-GOV-02,M-14,كود,tools/update0008_audit.php
BR-GOV-03,M-14,كود,tools/update0008_audit.php
BR-GOV-04,M-14,كود,tools/update0008_audit.php
BR-GOV-05,M-14,كود,tools/update0008_audit.php
BR-GOV-06,M-14,كود,tools/update0008_audit.php
BR-GOV-07,M-14,كود,tools/update0008_audit.php
BR-GOV-08,M-14,كود,tools/update0008_audit.php
DEC-01,M-14,اختبار/حزام,tests/dec01_decisions_test.php
IAM-001,E-05,عارٍ,
IAM-002,E-05,كود,Governance/guards.php
IAM-003,E-05,عارٍ,
IAM-004,E-05,عارٍ,
IAM-005,E-05,كود,includes/gov_columns.php
IAM-006,E-05,عارٍ,
IAM-007,E-05,عارٍ,
IAM-008,E-05,عارٍ,
IAM-009,E-05,عارٍ,
IAM-010,E-05,عارٍ,
IAM-011,E-05,عارٍ,
IAM-012,E-04,كود,Governance/guards.php
IAM-013,E-04,عارٍ,
IAM-015,E-04,كود,Governance/sensitive_fields.php
IAM-016,E-05,عارٍ,
IAM-017,E-05,كود,Portal/approvals_inbox.php
IAM-018,M-14,عارٍ,
IAM-019,E-05,كود,Portal/approvals_inbox.php
IAM-020,E-05,عارٍ,
IAM-021,E-05,كود,Governance/guards.php
IAM-022,E-05,عارٍ,
IAM-023,E-05,كود,Portal/my_kpi.php
IAM-024,E-05,كود,Portal/my_kpi.php
IAM-025,E-05,عارٍ,
IAM-028,E-03,عارٍ,
SCN-001,E-03,كود,Portal/my_certificate.php
SCN-002,E-03,كود,Portal/my_certificate.php
SCN-003,E-03,كود,Portal/my_certificate.php
SCN-004,E-03,كود,Portal/my_certificate.php
SCN-005,E-03,كود,Portal/my_certificate.php
SCN-006,E-03,كود,Portal/my_certificate.php
SCN-007,E-03,كود,Portal/my_certificate.php
SCN-008,E-03,كود,Portal/my_certificate.php
SCN-009,E-03,كود,Portal/my_certificate.php
SCN-010,E-03,كود,Portal/my_certificate.php
SCN-011,E-03,كود,Portal/my_certificate.php
SCN-012,E-03,كود,Portal/my_certificate.php
SCN-013,E-03,كود,Portal/my_certificate.php
SCN-014,E-03,كود,Portal/my_certificate.php
SCN-015,E-03,كود,Portal/my_certificate.php
SCN-016,E-03,كود,Portal/my_certificate.php
SCN-017,E-03,كود,Portal/my_certificate.php
SCN-018,E-03,كود,Portal/my_certificate.php
SCN-019,E-03,كود,Portal/my_evaluation.php
SCN-020,E-03,كود,Portal/my_evaluation.php
SCN-021,E-03,كود,Portal/my_evaluation.php
SCN-022,E-03,عارٍ,
SCN-023,E-03,كود,Portal/my_evaluation.php
SCN-024,E-03,كود,Portal/my_evaluation.php
SCN-025,E-03,كود,Portal/my_evaluation.php
SCN-026,E-03,كود,Portal/my_evaluation.php
SCN-027,E-03,كود,Portal/my_evaluation.php
SCN-028,E-03,كود,Portal/my_evaluation.php
SCN-029,E-03,كود,Portal/my_evaluation.php
SCN-030,E-03,كود,Portal/my_evaluation.php
SCN-031,E-03,كود,Portal/my_evaluation.php
SCN-032,E-03,كود,Portal/my_evaluation.php
SCN-033,E-03,كود,Portal/my_evaluation.php
SCN-034,E-03,كود,Portal/my_evaluation.php
SCN-035,E-03,كود,Portal/my_evaluation.php
SCN-036,E-03,كود,Portal/my_evaluation.php
SCN-037,E-03,كود,Portal/my_evaluation.php
SCN-038,E-03,كود,main/user_profile.php
SCN-039,E-03,كود,main/user_profile.php
SCN-040,E-03,كود,main/user_profile.php
SCN-041,E-03,عارٍ,
SCN-042,E-03,كود,main/user_profile.php
SCN-043,E-03,كود,main/user_profile.php
SCN-044,E-03,كود,main/user_profile.php
SCN-045,E-03,كود,main/user_profile.php
SCN-046,E-03,كود,main/user_profile.php
SCN-047,E-03,كود,main/user_profile.php
SCN-048,E-03,كود,main/user_profile.php
SCN-049,E-03,كود,main/user_profile.php
SCN-050,E-03,كود,main/user_profile.php
SCN-051,E-03,كود,main/user_profile.php
SCN-052,E-03,كود,main/user_profile.php
SCN-053,E-03,كود,main/user_profile.php
SCN-054,E-03,كود,main/user_profile.php
SCN-055,E-03,كود,main/user_profile.php
SCN-056,E-03,كود,main/user_profile.php
SCN-057,E-03,كود,user_capacities.php
SCN-058,E-03,كود,user_capacities.php
SCN-059,E-03,عارٍ,
SCN-060,E-03,عارٍ,
SCN-061,E-03,كود,user_capacities.php
SCN-062,E-03,كود,user_capacities.php
SCN-063,E-03,كود,user_capacities.php
SCN-064,E-03,كود,user_capacities.php
SCN-065,E-03,كود,user_capacities.php
SCN-066,E-03,كود,user_capacities.php
SCN-067,E-03,كود,user_capacities.php
SCN-068,E-03,كود,user_capacities.php
SCN-069,E-03,كود,user_capacities.php
SCN-070,E-03,كود,user_capacities.php
SCN-071,E-03,كود,user_capacities.php
SCN-072,E-03,كود,user_capacities.php
SCN-073,E-03,كود,user_capacities.php
SCN-074,E-03,كود,user_capacities.php
SCN-075,E-03,كود,user_capacities.php
SCN-076,E-03,كود,Settings/change_password.php
SCN-077,E-03,كود,Settings/change_password.php
SCN-078,E-03,كود,Settings/change_password.php
SCN-079,E-03,كود,Settings/change_password.php
SCN-080,E-03,كود,Settings/change_password.php
SCN-081,E-03,كود,Settings/change_password.php
