file	data_no_dt	no_datatable	kind	tables
Approvals/attribution_board.php	0	1	frozen	1
Clients/activities.php	0	1	manual	1
Clients/clients.php	0	1	manual	1
Clients/commercial_risks.php	0	1	manual	1
Clients/contract_amendments.php	0	1	manual	1
Clients/contract_commitments.php	0	1	manual	1
Clients/contract_events.php	0	1	manual	1
Clients/pricelists.php	0	1	manual	1
Clients/products.php	0	1	manual	1
Clients/quotations.php	0	1	manual	1
Clients/rate_books.php	2	0	manual	3
Clients/readiness_lines.php	0	1	manual	1
Clients/tenders.php	0	1	manual	1
Clients/units_of_measure.php	0	1	manual	1
Contracts/collections.php	3	3	frozen	5
Contracts/commercial_board.php	2	2	frozen	2
Contracts/contract_baseline.php	3	3	frozen	3
Contracts/contract_card.php	6	0	frozen	6
Contracts/contract_coverage.php	0	3	frozen	3
Contracts/contract_guarantees.php	2	2	frozen	2
Contracts/contract_lifecycle.php	4	4	frozen	4
Contracts/contract_lines.php	2	2	frozen	2
Contracts/contract_monthly_plan.php	2	2	frozen	2
Contracts/contract_obligations.php	0	1	frozen	1
Contracts/contract_payment_schedule.php	3	3	frozen	3
Contracts/contract_resource_plan.php	3	3	frozen	3
Contracts/contract_sites.php	2	2	frozen	2
Contracts/contracts_details.php	3	0	frozen	6
Contracts/penalties.php	0	1	frozen	1
Contracts/plan_actual_link.php	3	3	frozen	3
Contracts/tax_invoices.php	2	0	frozen	3
Employees/employee_card.php	4	0	frozen	4
Employees/employee_contracts.php	0	1	manual	1
Employees/employees.php	0	1	manual	1
Equipments/equipment_documents.php	0	1	manual	1
Equipments/equipment_profile.php	0	1	manual	9
FinRequests/cycle_time_board.php	2	2	frozen	2
FinRequests/effect_map.php	2	2	frozen	2
FinRequests/request_form.php	3	3	frozen	3
FinRequests/requests_reports.php	5	5	frozen	5
FinRequests/routing_admin.php	1	1	frozen	1
Finance/accountants_fin.php	0	2	manual	2
Finance/accounts_fin.php	0	1	manual	1
Finance/approvals_inbox.php	1	0	frozen	1
Finance/assets_fin.php	0	2	manual	2
Finance/bank_reconciliation_fin.php	2	3	manual	3
Finance/budget_dept.php	1	0	frozen	1
Finance/budget_form_fin.php	1	3	manual	3
Finance/budget_master.php	1	0	frozen	1
Finance/cash_forecast_fin.php	0	1	manual	1
Finance/cost_report_fin.php	0	2	manual	2
Finance/dues_fin.php	0	2	manual	2
Finance/entitlement.php	1	0	frozen	3
Finance/entitlement_gate.php	1	0	frozen	1
Finance/events_list_fin.php	0	1	manual	1
Finance/fin_contract_margin.php	2	0	frozen	2
Finance/fin_early_warning.php	1	0	frozen	2
Finance/fin_ratio_detail.php	1	0	frozen	2
Finance/financial_statements_fin.php	3	4	frozen	3
Finance/funding_fin.php	0	1	manual	2
Finance/import_events_fin.php	0	1	manual	1
Finance/journal_form_fin.php	0	1	manual	2
Finance/maintenance_provision_fin.php	0	1	manual	1
Finance/management_accounting_fin.php	0	2	manual	2
Finance/operator_pay_fin.php	0	1	manual	1
Finance/operator_pay_policies_fin.php	0	1	manual	1
Finance/payments_fin.php	0	1	manual	1
Finance/periodic_events_fin.php	4	4	frozen	4
Finance/periods_fin.php	0	1	manual	2
Finance/supplier_statement_fin.php	0	3	manual	4
Finance/tax_fin.php	0	1	manual	1
Finance/unit_records_fin.php	0	4	manual	3
Finance/variance_monitor_fin.php	0	1	manual	1
Financing/cost_allocation.php	1	0	frozen	1
Financing/deviations.php	1	0	frozen	1
Financing/financiers_registry.php	1	0	frozen	1
Financing/financing_board.php	1	0	frozen	1
Financing/financing_operation_new.php	1	0	frozen	1
Financing/installments.php	1	0	frozen	1
Financing/operation_profile.php	6	0	frozen	6
Financing/owners_registry.php	1	0	frozen	1
Governance/activation_patterns.php	1	0	frozen	1
Governance/entities_registry.php	1	0	frozen	1
Governance/gov_reports.php	0	3	frozen	3
Governance/guard_denials.php	1	0	frozen	2
Governance/licenses_guarantees.php	2	0	frozen	2
Governance/ownership_grants.php	1	0	frozen	1
Governance/perm_explain.php	1	1	frozen	2
Governance/signing_authority.php	1	0	frozen	1
Maintenance/equipment_hours_preventive.php	1	0	frozen	1
Maintenance/inspections.php	0	2	manual	2
Maintenance/master_data.php	0	1	manual	1
Maintenance/orders.php	0	3	manual	3
Maintenance/preventive_plans.php	0	3	manual	3
Maintenance/return_to_service.php	1	0	frozen	1
Operations/containers.php	0	3	frozen	3
Operations/daily_plan.php	0	1	frozen	1
Operations/distribution_space.php	1	0	frozen	1
Operations/fleet_calendar.php	1	0	manual	2
Operations/fleet_utilization.php	1	0	manual	2
Operations/operations_room.php	3	0	frozen	3
Operations/sites_board.php	1	0	frozen	1
Operations/stops_unattributed.php	1	0	frozen	1
Opportunities/opportunities.php	0	1	manual	2
Portal/ceo_reports.php	0	10	frozen	10
Portal/my_achievement.php	1	0	frozen	1
Portal/my_certificate.php	1	0	frozen	1
Portal/my_kpi.php	0	1	frozen	1
Portal/my_portal.php	1	0	frozen	1
Portal/my_requests.php	0	1	frozen	2
Portal/notifications.php	0	1	frozen	1
Portal/visibility_simulator.php	2	0	frozen	2
Procurement/dashboard_proc.php	1	1	manual	2
Procurement/issue_proc.php	0	1	manual	1
Procurement/items_proc.php	0	1	manual	1
Procurement/master_data_proc.php	0	2	manual	2
Procurement/orders_proc.php	1	1	manual	2
Procurement/receipt_custody_proc.php	0	1	manual	1
Procurement/reordering_proc.php	0	1	manual	1
Procurement/requests_proc.php	0	1	manual	1
Procurement/rfq_compare_award.php	1	0	frozen	1
Procurement/stock_proc.php	0	1	manual	1
Procurement/supplier_card_proc.php	7	0	frozen	7
Procurement/suppliers_proc.php	0	1	manual	1
Procurement/warehouse_board.php	1	0	frozen	1
Procurement/wh_count.php	1	0	frozen	1
Procurement/wh_returns.php	1	0	frozen	1
Procurement/wh_transfer.php	1	0	frozen	1
Reports/approval_lag_report.php	1	0	frozen	1
Risk/_legacy_view_panel.php	1	0	frozen	1
Settings/guard_classification.php	1	0	frozen	1
Suppliers/equipment_plan.php	1	0	frozen	1
Suppliers/rfq_requests.php	3	3	frozen	3
Suppliers/shares_coverage.php	1	0	frozen	1
Suppliers/supplier_closure.php	1	0	frozen	2
Suppliers/supplierscontracts_details.php	3	0	frozen	4
Tickets/admin_close.php	1	0	frozen	1
Tickets/dept_inbox.php	1	0	frozen	1
Tickets/inquiry.php	1	0	frozen	1
