المصنَّف	الورقة	ترتيب الورقة	خلية الرأس	رقم الحقل	اسم الحقل	آلية المصدر (AS-IS)	سلوك النظام المستهدف (TO-BE)	قاعدة الظهور	مصدر الحكم	حالة السطح	المتطلب الحاكم	قرار المصالحة
المبيعات التعاقدية	01_سجل_العملاء	1	A3	1	رقم العميل · Customer_ID	قيمة مثبتة	مفتاح أساسي مولَّد	يولّده النظام ولا يُحرَّر	قيمة في المرجع	قائم (AS-IS)	SAL-01	—
المبيعات التعاقدية	01_سجل_العملاء	1	B3	2	الاسم القانوني	قيمة مثبتة	إدخال أعمال	خانة إدخال مفتوحة	قيمة في المرجع	قائم (AS-IS)	SAL-01	—
المبيعات التعاقدية	01_سجل_العملاء	1	C3	3	الاسم المختصر	ورقة بلا بيانات	إدخال أعمال	خانة إدخال مفتوحة	اسم الحقل ودلالته	قائم (AS-IS)	SAL-01	—
المبيعات التعاقدية	01_سجل_العملاء	1	D3	4	تصنيف العميل	قيمة مثبتة	إدخال أعمال	خانة إدخال مفتوحة	قيمة في المرجع	قائم (AS-IS)	SAL-01	—
المبيعات التعاقدية	01_سجل_العملاء	1	E3	5	أساس التصنيف	قيمة مثبتة	إدخال أعمال	خانة إدخال مفتوحة	قيمة في المرجع	قائم (AS-IS)	SAL-01	—
المبيعات التعاقدية	01_سجل_العملاء	1	F3	6	حالة العميل	قيمة مثبتة	إدخال أعمال	خانة إدخال مفتوحة	قيمة في المرجع	قائم (AS-IS)	SAL-01	—
المبيعات التعاقدية	01_سجل_العملاء	1	G3	7	القطاع	قيمة مثبتة	إدخال أعمال	خانة إدخال مفتوحة	قيمة في المرجع	قائم (AS-IS)	SAL-01	—
المبيعات التعاقدية	01_سجل_العملاء	1	H3	8	الدولة	قيمة مثبتة	إدخال أعمال	خانة إدخال مفتوحة	قيمة في المرجع	قائم (AS-IS)	SAL-01	—
المبيعات التعاقدية	01_سجل_العملاء	1	I3	9	المدينة/المنطقة	قيمة مثبتة	إدخال أعمال	خانة إدخال مفتوحة	قيمة في المرجع	قائم (AS-IS)	SAL-01	—
المبيعات التعاقدية	01_سجل_العملاء	1	J3	10	رقم التسجيل	ورقة بلا بيانات	إدخال أعمال	خانة إدخال مفتوحة	اسم الحقل ودلالته	قائم (AS-IS)	SAL-01	—
المبيعات التعاقدية	01_سجل_العملاء	1	K3	11	الرقم الضريبي	ورقة بلا بيانات	إدخال أعمال	خانة إدخال مفتوحة	اسم الحقل ودلالته	قائم (AS-IS)	SAL-01	—
المبيعات التعاقدية	01_سجل_العملاء	1	L3	12	مالك الحساب	قيمة مثبتة	إدخال أعمال	خانة إدخال مفتوحة	قيمة في المرجع	قائم (AS-IS)	SAL-01	—
المبيعات التعاقدية	01_سجل_العملاء	1	M3	13	مصدر التعرف	قيمة مثبتة	إدخال أعمال	خانة إدخال مفتوحة	قيمة في المرجع	قائم (AS-IS)	SAL-01	—
المبيعات التعاقدية	01_سجل_العملاء	1	N3	14	درجة الأولوية	ورقة بلا بيانات	إدخال أعمال	خانة إدخال مفتوحة	اسم الحقل ودلالته	قائم (AS-IS)	SAL-01	—
المبيعات التعاقدية	01_سجل_العملاء	1	O3	15	التصنيف الائتماني	قيمة مثبتة	إدخال أعمال	خانة إدخال مفتوحة	قيمة في المرجع	قائم (AS-IS)	SAL-01	—
المبيعات التعاقدية	01_سجل_العملاء	1	P3	16	حد الائتمان ($)	ورقة بلا بيانات	إدخال أعمال	خانة إدخال مفتوحة	اسم الحقل ودلالته	قائم (AS-IS)	SAL-01	—
المبيعات التعاقدية	01_سجل_العملاء	1	Q3	17	حد الائتمان (ج.س)	ورقة بلا بيانات	إدخال أعمال	خانة إدخال مفتوحة	اسم الحقل ودلالته	قائم (AS-IS)	SAL-01	—
المبيعات التعاقدية	01_سجل_العملاء	1	R3	18	شروط الدفع الافتراضية	ورقة بلا بيانات	إدخال أعمال	خانة إدخال مفتوحة	اسم الحقل ودلالته	قائم (AS-IS)	SAL-01	—
المبيعات التعاقدية	01_سجل_العملاء	1	S3	19	تاريخ أول تعامل	صيغة عابرة للأوراق	مستورد للقراءة من مالكه	يُقرأ من مالكه ويُعرض موسومًا	صيغة حية في المرجع	قائم (AS-IS)	SAL-01	—
المبيعات التعاقدية	01_سجل_العملاء	1	T3	20	عدد العقود	صيغة عابرة للأوراق	مشتق محسوب	يُحسب في الخدمة ولا يُدخل	صيغة حية في المرجع	قائم (AS-IS)	SAL-01	—
