nav_id,role_id,role_name,door,group_id,label_ar,route,sort,active,module_id,module_code
22,1,"ادارة التشغيل",APPR,,"اعتماد الوحدات التشغيلية",Approvals/hours_approval.php,5,1,,
4,1,"ادارة التشغيل",APPR,,"موافقات إدارتي",FinRequests/dept_inbox.php,10,1,116,FinRequests/dept_inbox.php
557,1,"ادارة التشغيل",APPR,,"لوحة الإسناد اليومي",Approvals/attribution_board.php,12,1,146,Approvals/attribution_board.php
5,1,"ادارة التشغيل",APPR,,"وحدات الأطراف",Finance/unit_records_fin.php,20,1,105,Finance/unit_records_fin.php
6,1,"ادارة التشغيل",APPR,,"الميزانية والانحراف",Finance/budget_form_fin.php,30,1,89,Finance/budget_form_fin.php
836,1,"ادارة التشغيل",APPR,,"أذونات المواقع",admin/org_permits.php,90,1,218,admin/org_permits.php
764,1,"ادارة التشغيل",DAILY,,"غرفة عمليات التشغيل",Operations/operations_room.php,5,1,193,Operations/operations_room.php
768,1,"ادارة التشغيل",DAILY,,"مساحة التوزيع",Operations/distribution_space.php,6,1,194,Operations/distribution_space.php
769,1,"ادارة التشغيل",DAILY,,"سجل الوحدات اليومية",Reports/daily_units_report.php,7,1,195,Reports/daily_units_report.php
772,1,"ادارة التشغيل",DAILY,,"لوحة الجاهزية",Fleet/readiness_board.php,8,1,196,Fleet/readiness_board.php
1,1,"ادارة التشغيل",DAILY,,"طلب مالي جديد",FinRequests/request_form.php,10,1,114,FinRequests/request_form.php
2,1,"ادارة التشغيل",DAILY,,"طلباتي المالية",FinRequests/my_requests.php,20,1,115,FinRequests/my_requests.php
3,1,"ادارة التشغيل",DAILY,,"تسجيل الوحدات",Timesheet/timesheet_type.php,30,0,10,Timesheet/timesheet_type.php
806,1,"ادارة التشغيل",FIN,,"سجل الممولين",Financing/financiers_registry.php,1,1,210,Financing/financiers_registry.php
807,1,"ادارة التشغيل",FIN,,"إنشاء عملية تمويل",Financing/financing_operation_new.php,2,1,211,Financing/financing_operation_new.php
802,1,"ادارة التشغيل",GOV,,"سجل الكيانات",Governance/entities_registry.php,1,1,206,Governance/entities_registry.php
803,1,"ادارة التشغيل",GOV,,"التفويض بالتوقيع",Governance/signing_authority.php,2,1,207,Governance/signing_authority.php
804,1,"ادارة التشغيل",GOV,,"التراخيص والكفالات",Governance/licenses_guarantees.php,3,1,208,Governance/licenses_guarantees.php
805,1,"ادارة التشغيل",GOV,,"أنماط التفعيل",Governance/activation_patterns.php,4,1,209,Governance/activation_patterns.php
829,1,"ادارة التشغيل",GOV,,"منح المجال المقيَّد",Governance/ownership_grants.php,5,1,213,Governance/ownership_grants.php
833,1,"ادارة التشغيل",HOME,,"لوحة مدير التشغيل",admin/ops_manager_board.php,5,1,215,admin/ops_manager_board.php
464,1,"ادارة التشغيل",HOME,,الرئيسية,main/role_board.php,10,1,139,main/role_board.php
7,1,"ادارة التشغيل",REC,1,العملاء,Clients/clients.php,10,1,1,Clients/clients.php
8,1,"ادارة التشغيل",REC,1,المشاريع,Projects/projects.php,20,1,2,Projects/projects.php
9,1,"ادارة التشغيل",REC,1,العقود,Contracts/contracts.php,30,1,20,Contracts/contracts.php
10,1,"ادارة التشغيل",REC,,الموظفون,Employees/employees.php,40,0,7,Employees/employees.php
491,1,"ادارة التشغيل",REC,,المستخلصات,Contracts/claims.php,45,1,142,Contracts/claims.php
552,1,"ادارة التشغيل",REC,,"مصفوفة التزامات العقد",Contracts/contract_obligations.php,47,1,145,Contracts/contract_obligations.php
568,1,"ادارة التشغيل",REC,,"احتساب الجزاءات والحوافز",Contracts/penalties.php,48,1,147,Contracts/penalties.php
581,1,"ادارة التشغيل",REC,,"حاويات العقود",Operations/containers.php,48,1,149,Operations/containers.php
591,1,"ادارة التشغيل",REC,,"مواقع التنفيذ",Projects/sites.php,49,1,150,Projects/sites.php
11,1,"ادارة التشغيل",REC,,المعدات,Equipments/equipments_fleet.php,50,0,8,Equipments/equipments_fleet.php
613,1,"ادارة التشغيل",REC,,"شروط تعديل السعر",Contracts/price_terms.php,53,1,154,Contracts/price_terms.php
12,1,"ادارة التشغيل",REC,,المعاونون,main/project_users.php,60,0,14,main/project_users.php
455,1,"ادارة التشغيل",REC,,"وثائق المعدات والمشغّلين",Equipments/equipment_documents.php,62,1,141,Equipments/equipment_documents.php
13,1,"ادارة التشغيل",REC,,"المعاملات المالية",Finance/events_list_fin.php,70,1,86,Finance/events_list_fin.php
708,1,"ادارة التشغيل",REC,,"خطة موارد العقد",Contracts/contract_resource_plan.php,74,1,175,Contracts/contract_resource_plan.php
834,1,"ادارة التشغيل",REC,,"التكليفات التنظيمية",admin/org_assignments.php,90,1,216,admin/org_assignments.php
23,1,"ادارة التشغيل",REP,,التقارير,emsreports/index.php,5,1,,
14,1,"ادارة التشغيل",REP,,"مركز التقارير",Reports/reports.php,10,1,4,Reports/reports.php
15,1,"ادارة التشغيل",REP,,"التكاليف والربحية",Finance/cost_report_fin.php,20,1,92,Finance/cost_report_fin.php
808,1,"ادارة التشغيل",REP,,"الاعتمادات المتأخرة والوثائق",Reports/approval_lag_report.php,90,1,212,Reports/approval_lag_report.php
16,1,"ادارة التشغيل",SET,2,"أنواع المعدات",Equipments/equipments_types.php,10,1,5,Equipments/equipments_types.php
17,1,"ادارة التشغيل",SET,2,"الأنواع والموديلات",Equipments/fleet_models.php,20,0,40,Equipments/fleet_models.php
18,1,"ادارة التشغيل",SET,2,"إعداد الإهلاك",Equipments/fleet_depreciation_profiles.php,30,0,41,Equipments/fleet_depreciation_profiles.php
19,1,"ادارة التشغيل",SET,3,الصلاحيات,main/users.php,40,1,3,main/users.php
20,1,"ادارة التشغيل",SET,3,"سجل النشاط",ActivityLogs/activity_logs.php,50,1,12,ActivityLogs/activity_logs.php
21,1,"ادارة التشغيل",SET,,الإعدادات,Settings/settings.php,60,1,11,Settings/settings.php
835,1,"ادارة التشغيل",SET,,"الهيكل التنظيمي",admin/org_structure.php,90,1,217,admin/org_structure.php
33,2,"ادارة الموردين",APPR,,"موافقات إدارتي",FinRequests/dept_inbox.php,10,1,116,FinRequests/dept_inbox.php
36,2,"ادارة الموردين",APPR,,"اعتماد الوحدات التشغيلية",Approvals/hours_approval.php,20,1,,
501,2,"ادارة الموردين",APPR,,"الميزانية والانحراف",Finance/budget_form_fin.php,40,1,89,Finance/budget_form_fin.php
31,2,"ادارة الموردين",DAILY,,"طلب مالي جديد",FinRequests/request_form.php,10,1,114,FinRequests/request_form.php
32,2,"ادارة الموردين",DAILY,,"طلباتي المالية",FinRequests/my_requests.php,20,1,115,FinRequests/my_requests.php
35,2,"ادارة الموردين",DAILY,,"المدفوعات والخزينة",Finance/payments_fin.php,30,1,91,Finance/payments_fin.php
465,2,"ادارة الموردين",HOME,,الرئيسية,main/role_board.php,10,1,139,main/role_board.php
27,2,"ادارة الموردين",REC,,الموردون,Suppliers/suppliers.php,10,1,22,Suppliers/suppliers.php
28,2,"ادارة الموردين",REC,,"مشرفو الموردين",main/project_users.php,20,1,14,main/project_users.php
30,2,"ادارة الموردين",REC,,"عقود الموردين",Suppliers/supplierscontracts.php,30,1,25,Suppliers/supplierscontracts.php
536,2,"ادارة الموردين",REC,,"تسويات الموردين",Suppliers/settlements.php,46,1,144,Suppliers/settlements.php
608,2,"ادارة الموردين",REC,,"بنود عقد المورد",Suppliers/supplier_contract_lines.php,52,1,153,Suppliers/supplier_contract_lines.php
634,2,"ادارة الموردين",REC,,"سلفيات الموردين",Suppliers/supplier_advances.php,57,1,158,Suppliers/supplier_advances.php
641,2,"ادارة الموردين",REC,,"قواعد تحميل المورد وجزاءاته",Suppliers/supplier_rules.php,58,1,159,Suppliers/supplier_rules.php
646,2,"ادارة الموردين",REC,,"الطاقة والجاهزية ومهلة الإحلال",Suppliers/supplier_capacity.php,59,1,160,Suppliers/supplier_capacity.php
648,2,"ادارة الموردين",REC,,"تقييم المورد الدوري",Suppliers/supplier_evaluation.php,60,1,161,Suppliers/supplier_evaluation.php
651,2,"ادارة الموردين",REC,,"تصفية إنهاء عقد المورد",Suppliers/supplier_closure.php,61,1,162,Suppliers/supplier_closure.php
654,2,"ادارة الموردين",REC,,"وثائق المورد وحسابه البنكي",Suppliers/supplier_documents.php,62,1,163,Suppliers/supplier_documents.php
680,2,"ادارة الموردين",REC,,"تعرفة الترحيل وتسعير الأوامر",Transport/transfer_tariffs.php,67,1,168,Transport/transfer_tariffs.php
689,2,"ادارة الموردين",REC,,"طلبات عروض الموردين",Suppliers/rfq_requests.php,70,1,171,Suppliers/rfq_requests.php
29,2,"ادارة الموردين",REP,,"مركز التقارير",Reports/reports.php,10,1,4,Reports/reports.php
34,2,"ادارة الموردين",REP,,"كشف حساب المورد",Finance/supplier_statement_fin.php,20,1,106,Finance/supplier_statement_fin.php
37,2,"ادارة الموردين",SET,,الإعدادات,Settings/settings.php,10,1,11,Settings/settings.php
