nav_id,role_id,door,label_ar,route,①group_new,②appearance,③parent_screen,④action,⑤alt_route,⑥permission,⑦test
22,1,APPR,"اعتماد الوحدات التشغيلية",Approvals/hours_approval.php,"g4 المراجعة والاعتماد",★قائمة,,★إبقاء,,role:1,"المسار القديم يصل بلا خطأ (nav_redirects)"
4,1,APPR,"موافقات إدارتي",FinRequests/dept_inbox.php,"g4 المراجعة والاعتماد",★قائمة,,★إبقاء,,role:1,"المسار القديم يصل بلا خطأ (nav_redirects)"
557,1,APPR,"لوحة الإسناد اليومي",Approvals/attribution_board.php,"g1 لوحة الإدارة",★قائمة,,★إبقاء,,role:1,"المسار القديم يصل بلا خطأ (nav_redirects)"
5,1,APPR,"وحدات الأطراف",Finance/unit_records_fin.php,"g4 المراجعة والاعتماد",★قائمة,,★إبقاء,,role:1,"المسار القديم يصل بلا خطأ (nav_redirects)"
6,1,APPR,"الميزانية والانحراف",Finance/budget_form_fin.php,"g5 المتابعة والاستثناءات",★قائمة,,★إبقاء,,role:1,"المسار القديم يصل بلا خطأ (nav_redirects)"
836,1,APPR,"أذونات المواقع",admin/org_permits.php,"g4 المراجعة والاعتماد",★قائمة,,★إبقاء,,role:1,"المسار القديم يصل بلا خطأ (nav_redirects)"
764,1,DAILY,"غرفة عمليات التشغيل",Operations/operations_room.php,"g2 العمل اليومي",★قائمة,,★إبقاء,,role:1,"المسار القديم يصل بلا خطأ (nav_redirects)"
768,1,DAILY,"مساحة التوزيع",Operations/distribution_space.php,"g2 العمل اليومي",★قائمة,,★إبقاء,,role:1,"المسار القديم يصل بلا خطأ (nav_redirects)"
769,1,DAILY,"سجل الوحدات اليومية",Reports/daily_units_report.php,"g2 العمل اليومي",★قائمة,,★إبقاء,,role:1,"المسار القديم يصل بلا خطأ (nav_redirects)"
772,1,DAILY,"لوحة الجاهزية",Fleet/readiness_board.php,"g1 لوحة الإدارة",★قائمة,,★إبقاء,,role:1,"المسار القديم يصل بلا خطأ (nav_redirects)"
1,1,DAILY,"طلب مالي جديد",FinRequests/request_form.php,"g2 العمل اليومي",★قائمة,,★إبقاء,,role:1,"المسار القديم يصل بلا خطأ (nav_redirects)"
2,1,DAILY,"طلباتي المالية",FinRequests/my_requests.php,"g2 العمل اليومي",★قائمة,,★إبقاء,,role:1,"المسار القديم يصل بلا خطأ (nav_redirects)"
3,1,DAILY,"تسجيل الوحدات",Timesheet/timesheet_type.php,"g2 العمل اليومي",★قائمة,,★إبقاء,,role:1,"المسار القديم يصل بلا خطأ (nav_redirects)"
