المسار,الاسم,"الإجراءُ المطلوب",الحالة,تفصيل
ActivityLogs/activity_logs.php,"سجل النشاط","إبقاءٌ مع تجميع",applied,"في قوائم مالكه وحدَها بعد إعادة التوزيع"
Approvals/attribution_board.php,"لوحة الإسناد اليومي","إبقاءٌ مع تجميع",applied,"حيٌّ في مجموعته"
Approvals/hours_approval.php,"اعتماد ساعات العمل","إبقاءٌ مع تجميع",applied,"حيٌّ في مجموعته"
Approvals/requests.php,"طلبات الموافقات","يُصنَّف: تقريرٌ أم تبويبٌ أم تجميد",not_in_nav,"يُصنَّف: تقريرٌ أم تبويبٌ أم تجميد"
Clients/activities.php,"أنشطة العملاء","إبقاءٌ مع تجميع",applied,"في قوائم مالكه وحدَها بعد إعادة التوزيع"
Clients/client_profile.php,"بطاقة العميل","إبقاءٌ خارج القائمة",not_in_nav,"إبقاءٌ خارج القائمة"
Clients/clients.php,العملاء,"إبقاءٌ مع تجميع",applied,"في قوائم مالكه وحدَها بعد إعادة التوزيع"
Clients/commercial_risks.php,"المخاطر التجارية","إبقاءٌ مع تجميع",applied,"في قوائم مالكه وحدَها بعد إعادة التوزيع"
Clients/contract_amendments.php,"ملاحق العقود وتجديداتها","دمجٌ في ملف العقد",applied,merge:contract
Clients/contract_commitments.php,"التزامات العقود","دمجٌ في ملف العقد",applied,merge:contract
Clients/contract_events.php,"سجل حركة العقد","دمجٌ في ملف العقد",applied,merge:contract
Clients/pricelists.php,"قوائم ونماذج التسعير","إبقاءٌ مع تجميع",applied,"في قوائم مالكه وحدَها بعد إعادة التوزيع"
Clients/products.php,"كتالوج المنتجات والخدمات","إبقاءٌ مع تجميع",applied,"في قوائم مالكه وحدَها بعد إعادة التوزيع"
Clients/quotations.php,"عروض الأسعار","إبقاءٌ مع تجميع",applied,"في قوائم مالكه وحدَها بعد إعادة التوزيع"
Clients/readiness_lines.php,"جاهزية العروض","إبقاءٌ مع تجميع",applied,"في قوائم مالكه وحدَها بعد إعادة التوزيع"
Clients/tenders.php,المناقصات,"إبقاءٌ مع تجميع",applied,"في قوائم مالكه وحدَها بعد إعادة التوزيع"
Clients/units_of_measure.php,"وحدات القياس","إبقاءٌ مع تجميع",applied,"في قوائم مالكه وحدَها بعد إعادة التوزيع"
Contracts/claims.php,المستخلصات,"إبقاءٌ مع تجميع",applied,"في قوائم مالكه وحدَها بعد إعادة التوزيع"
Contracts/client_statement.php,"كشف حساب العميل","إبقاءٌ مع تجميع",applied,"حيٌّ في مجموعته"
Contracts/collections.php,"الذمم والتحصيل","دمجٌ — اسمٌ مكرر",applied,merge:dup_name
