الإدارة,الشاشة,المسار,المصدر,الحكم
التشغيل,"لوحة الجاهزية",Fleet/readiness_board.php,"قائمٌ — منفَّذ",move:to-role-1
التشغيل,"لوحة مدير التشغيل",admin/ops_manager_board.php,"قائمٌ — منفَّذ",ok:placed
التشغيل,"أذونات الدخول والخروج والحركة",admin/org_permits.php,"قائمٌ — منفَّذ",ok:placed
التشغيل,المستخلصات,Contracts/claims.php,"قائمٌ — منفَّذ",move:to-role-1
التشغيل,"توزيع المعدات والمشغّلين",Operations/distribution_space.php,"قائمٌ — منفَّذ",move:to-role-1
التشغيل,"غرفة عمليات التشغيل",Operations/operations_room.php,"قائمٌ — منفَّذ",ok:placed
التشغيل,"لوحة المواقع",,"★ جديدٌ — مطلوبٌ للبناء",build:new
التشغيل,"احتساب الجزاءات والحوافز",Contracts/penalties.php,"قائمٌ — منفَّذ",revive:role-1
التشغيل,الإعدادات,Settings/settings.php,"قائمٌ — منفَّذ",ok:placed
التشغيل,التقارير,emsreports/index.php,"قائمٌ — منفَّذ",revive:role-1
التشغيل,"التكليفات التنظيمية",admin/org_assignments.php,"قائمٌ — منفَّذ",move:to-role-1
التشغيل,العقود,Contracts/contracts.php,"قائمٌ — منفَّذ",move:to-role-1
التشغيل,المشاريع,Projects/projects.php,"قائمٌ — منفَّذ",move:to-role-1
التشغيل,"خطة موارد العقد",Contracts/contract_resource_plan.php,"قائمٌ — منفَّذ",revive:role-1
التشغيل,"شروط تعديل السعر",Contracts/price_terms.php,"قائمٌ — منفَّذ",revive:role-1
التشغيل,"مصفوفة التزامات العقد",Contracts/contract_obligations.php,"قائمٌ — منفَّذ",revive:role-1
التشغيل,"مواقع التنفيذ",Projects/sites.php,"قائمٌ — منفَّذ",ok:placed
التشغيل,"وثائق المعدات والمشغّلين",Equipments/equipment_documents.php,"قائمٌ — منفَّذ",move:to-role-1
التشغيل,"أحكام العميل والمورد والمشغّل",Finance/unit_records_fin.php,"قائمٌ — منفَّذ",ok:placed
التشغيل,"لوحة الإسناد اليومي",Approvals/attribution_board.php,"قائمٌ — منفَّذ",ok:placed
التشغيل,"اعتماد الوحدات التشغيلية",Approvals/hours_approval.php,"قائمٌ — منفَّذ",ok:placed
التشغيل,"بلاغات إدارتي",,"★ جديدٌ — مطلوبٌ للبناء",link:dept_inbox
التشغيل,"الاعتمادات المتأخرة والوثائق",Reports/approval_lag_report.php,"قائمٌ — منفَّذ",ok:placed
التشغيل,"سجل الوحدات اليومية",Reports/daily_units_report.php,"قائمٌ — منفَّذ",ok:placed
التشغيل,"ميزانية إدارتي",Finance/budget_form_fin.php,"قائمٌ — منفَّذ",revive:role-1
التشغيل,"التكاليف والربحية",Finance/cost_report_fin.php,"قائمٌ — منفَّذ",revive:role-1
التشغيل,"مركز التقارير",Reports/reports.php,"قائمٌ — منفَّذ",ok:placed
التشغيل,"سجل الأحداث المالية",Finance/events_list_fin.php,"قائمٌ — منفَّذ",revive:role-1
التشغيل,"سجل النشاط",ActivityLogs/activity_logs.php,"قائمٌ — منفَّذ",move:to-role-1
التشغيل,"أنواع المعدات",Equipments/equipments_types.php,"قائمٌ — منفَّذ",move:to-role-1
التشغيل,"الهيكل التنظيمي",admin/org_structure.php,"قائمٌ — منفَّذ",move:to-role-1
"إدارة الموقع","لوحة الإدارة",main/role_board.php,"قائمٌ — منفَّذ",ok:placed
"إدارة الموقع","تسجيل التايم شيت والإنتاج",Timesheet/timesheet_type.php,"قائمٌ — منفَّذ",revive:role-6
"إدارة الموقع","أذونات الدخول والخروج والحركة",admin/org_permits.php,"قائمٌ — منفَّذ",ok:placed
"إدارة الموقع",الورديات,movement/movement_operations.php,"قائمٌ — منفَّذ",move:to-role-6
"إدارة الموقع","توزيع المعدات والمشغّلين",Operations/distribution_space.php,"قائمٌ — منفَّذ",move:to-role-6
"إدارة الموقع","خطة عمل الغد",Operations/daily_plan.php,"قائمٌ — منفَّذ",move:to-role-6
"إدارة الموقع","غرفة عمليات التشغيل",Operations/operations_room.php,"قائمٌ — منفَّذ",ok:placed
"إدارة الموقع",الإعدادات,Settings/settings.php,"قائمٌ — منفَّذ",ok:placed
"إدارة الموقع","التكليفات التنظيمية",admin/org_assignments.php,"قائمٌ — منفَّذ",move:to-role-6
"إدارة الموقع","الجدول الشهري للعقد",Contracts/contract_monthly_plan.php,"قائمٌ — منفَّذ",revive:role-6
"إدارة الموقع","خريطة التشغيل اليومية",movement/map_page.php,"قائمٌ — منفَّذ",move:to-role-6
"إدارة الموقع","خطة موارد العقد",Contracts/contract_resource_plan.php,"قائمٌ — منفَّذ",revive:role-6
"إدارة الموقع","فريق الإدارة والتكليفات",main/project_users.php,"قائمٌ — منفَّذ",move:to-role-6
"إدارة الموقع","مواقع التنفيذ",Projects/sites.php,"قائمٌ — منفَّذ",ok:placed
"إدارة الموقع","نطاقات العقد التشغيلية",Contracts/contract_sites.php,"قائمٌ — منفَّذ",revive:role-6
"إدارة الموقع","أحكام العميل والمورد والمشغّل",Finance/unit_records_fin.php,"قائمٌ — منفَّذ",ok:placed
"إدارة الموقع","اعتماد الوحدات التشغيلية",Approvals/hours_approval.php,"قائمٌ — منفَّذ",ok:placed
"إدارة الموقع","التوقفات بلا مسؤول",,"★ جديدٌ — مطلوبٌ للبناء",build:new
"إدارة الموقع","بلاغات إدارتي",,"★ جديدٌ — مطلوبٌ للبناء",link:dept_inbox
"إدارة الموقع","ميزانية إدارتي",Finance/budget_form_fin.php,"قائمٌ — منفَّذ",revive:role-6
"إدارة الموقع","التكاليف والربحية",Finance/cost_report_fin.php,"قائمٌ — منفَّذ",revive:role-6
"إدارة الموقع","مركز التقارير",Reports/reports.php,"قائمٌ — منفَّذ",ok:placed
"إدارة الموقع","سجل الأحداث المالية",Finance/events_list_fin.php,"قائمٌ — منفَّذ",revive:role-6
الصيانة,"لوحة الإدارة",Maintenance/dashboard_mnt.php,"قائمٌ — منفَّذ",ok:placed
الصيانة,"أوامر الصيانة",Maintenance/orders.php,"قائمٌ — منفَّذ",ok:placed
الصيانة,"بلاغات إدارتي",,"★ جديدٌ — مطلوبٌ للبناء",link:dept_inbox
الصيانة,"ساعات المعدة والوقائية",,"★ جديدٌ — مطلوبٌ للبناء",build:new
الصيانة,التقارير,emsreports/index.php,"قائمٌ — منفَّذ",revive:role-13
الصيانة,"الصيانة الوقائية",Maintenance/preventive_plans.php,"قائمٌ — منفَّذ",ok:placed
الصيانة,"الفحص الفني اليومي",Maintenance/inspections.php,"قائمٌ — منفَّذ",ok:placed
الصيانة,"تصنيفات الأعطال",Equipments/manage_failure_codes.php,"قائمٌ — منفَّذ",ok:placed
الصيانة,"العودة للخدمة",,"★ جديدٌ — مطلوبٌ للبناء",build:new
الصيانة,"ميزانية إدارتي",Finance/budget_form_fin.php,"قائمٌ — منفَّذ",revive:role-13
الصيانة,"التكاليف والربحية",Finance/cost_report_fin.php,"قائمٌ — منفَّذ",revive:role-13
الصيانة,"سجل الأحداث المالية",Finance/events_list_fin.php,"قائمٌ — منفَّذ",revive:role-13
الصيانة,"إعدادات الصيانة",Maintenance/master_data.php,"قائمٌ — منفَّذ",ok:placed
"النقل والترحيل","لوحة الإدارة",Transport/transfer_dashboard.php,"قائمٌ — منفَّذ",ok:placed
"النقل والترحيل","أوامر الترحيل",Transport/transfer_orders_list.php,"قائمٌ — منفَّذ",ok:placed
"النقل والترحيل","الحركة في الطريق",,"★ جديدٌ — مطلوبٌ للبناء",build:new
"النقل والترحيل","الوصول والتسليم",,"★ جديدٌ — مطلوبٌ للبناء",build:new
"النقل والترحيل","موافقات الترحيل",Transport/transfer_requests.php,"قائمٌ — منفَّذ",ok:placed
"النقل والترحيل","بلاغات إدارتي",,"★ جديدٌ — مطلوبٌ للبناء",link:dept_inbox
"النقل والترحيل","ميزانية إدارتي",Finance/budget_form_fin.php,"قائمٌ — منفَّذ",revive:role-23
"النقل والترحيل","إقفال الأمر وتحميل التكلفة",,"★ جديدٌ — مطلوبٌ للبناء",build:new
"النقل والترحيل","التكاليف والربحية",Finance/cost_report_fin.php,"قائمٌ — منفَّذ",revive:role-23
"النقل والترحيل","سجل الأحداث المالية",Finance/events_list_fin.php,"قائمٌ — منفَّذ",revive:role-23
"النقل والترحيل","إعدادات الترحيل",Transport/transfer_types_config.php,"قائمٌ — منفَّذ",ok:placed
"النقل والترحيل",المواقع,Transport/trs_locations_config.php,"قائمٌ — منفَّذ",ok:placed
"النقل والترحيل","تعرفة الترحيل وتسعير الأوامر",Transport/transfer_tariffs.php,"قائمٌ — منفَّذ",ok:placed
"النقل والترحيل","قواعد تحميل تكلفة الترحيل",Transport/transfer_cost_rules_config.php,"قائمٌ — منفَّذ",ok:placed
"سلسلة الإمداد — المشتريات","لوحة الإدارة",Procurement/dashboard_proc.php,"قائمٌ — منفَّذ",ok:placed
"سلسلة الإمداد — المشتريات","طلبات الشراء",Procurement/requests_proc.php,"قائمٌ — منفَّذ",ok:placed
"سلسلة الإمداد — المشتريات","طلبات عروض الموردين",Suppliers/rfq_requests.php,"قائمٌ — منفَّذ",move:to-role-16
"سلسلة الإمداد — المشتريات","مقارنة العروض والترسية",,"★ جديدٌ — مطلوبٌ للبناء",build:new
"سلسلة الإمداد — المشتريات","أوامر الشراء",Procurement/orders_proc.php,"قائمٌ — منفَّذ",ok:placed
"سلسلة الإمداد — المشتريات","الاستلام المؤقت",Procurement/receipt_custody_proc.php,"قائمٌ — منفَّذ",ok:placed
"سلسلة الإمداد — المشتريات","صرف المخزون والعهدة",Procurement/issue_proc.php,"قائمٌ — منفَّذ",ok:placed
"سلسلة الإمداد — المشتريات",المخزون,Procurement/stock_proc.php,"قائمٌ — منفَّذ",ok:placed
"سلسلة الإمداد — المشتريات","كتالوج الأصناف",Procurement/items_proc.php,"قائمٌ — منفَّذ",ok:placed
"سلسلة الإمداد — المشتريات","بلاغات إدارتي",,"★ جديدٌ — مطلوبٌ للبناء",link:dept_inbox
"سلسلة الإمداد — المشتريات","المدفوعات والخزينة",Finance/payments_fin.php,"قائمٌ — منفَّذ",ok:placed
"سلسلة الإمداد — المشتريات","ميزانية إدارتي",Finance/budget_form_fin.php,"قائمٌ — منفَّذ",revive:role-16
"سلسلة الإمداد — المشتريات","سجل الأحداث المالية",Finance/events_list_fin.php,"قائمٌ — منفَّذ",revive:role-16
"سلسلة الإمداد — المشتريات","البيانات المرجعية",Procurement/master_data_proc.php,"قائمٌ — منفَّذ",ok:placed
