المساحة,الشاشة,الحكم,الشاهد
DEP-01,Reports/reports.php,LIVE_LINK_OWNER,"رابطٌ نشِطٌ في سايدبارِ الدور 12"
DEP-01,Equipments/equipments_types.php,SEED_ARTIFACT,"بلا رابطٍ نشِطٍ ولا يُبلَغ من شاشةِ هدف"
DEP-01,Employees/employees.php,SEED_ARTIFACT,"بلا رابطٍ نشِطٍ ولا يُبلَغ من شاشةِ هدف"
DEP-01,Equipments/equipments_fleet.php,SEED_ARTIFACT,"بلا رابطٍ نشِطٍ ولا يُبلَغ من شاشةِ هدف"
DEP-01,Oprators/oprators.php,SEED_ARTIFACT,"بلا رابطٍ نشِطٍ ولا يُبلَغ من شاشةِ هدف"
DEP-01,Timesheet/timesheet_type.php,SEED_ARTIFACT,"بلا رابطٍ نشِطٍ ولا يُبلَغ من شاشةِ هدف"
DEP-01,ActivityLogs/activity_logs.php,SEED_ARTIFACT,"بلا رابطٍ نشِطٍ ولا يُبلَغ من شاشةِ هدف"
DEP-01,main/project_users.php,SEED_ARTIFACT,"بلا رابطٍ نشِطٍ ولا يُبلَغ من شاشةِ هدف"
DEP-01,Suppliers/suppliers.php,SEED_ARTIFACT,"بلا رابطٍ نشِطٍ ولا يُبلَغ من شاشةِ هدف"
DEP-01,Oprators/select_project.php,SEED_ARTIFACT,"بلا رابطٍ نشِطٍ ولا يُبلَغ من شاشةِ هدف"
DEP-01,Suppliers/supplierscontracts.php,SEED_ARTIFACT,"بلا رابطٍ نشِطٍ ولا يُبلَغ من شاشةِ هدف"
DEP-01,Suppliers/supplierscontracts_details.php,SEED_ARTIFACT,"بلا رابطٍ نشِطٍ ولا يُبلَغ من شاشةِ هدف"
DEP-01,Equipments/equipments_drivers.php,SEED_ARTIFACT,"بلا رابطٍ نشِطٍ ولا يُبلَغ من شاشةِ هدف"
DEP-01,movement/project_drivers.php,SEED_ARTIFACT,"بلا رابطٍ نشِطٍ ولا يُبلَغ من شاشةِ هدف"
DEP-01,movement/movement_operations.php,SEED_ARTIFACT,"بلا رابطٍ نشِطٍ ولا يُبلَغ من شاشةِ هدف"
DEP-01,movement/map_page.php,SEED_ARTIFACT,"بلا رابطٍ نشِطٍ ولا يُبلَغ من شاشةِ هدف"
DEP-01,Equipments/fleet_models.php,SEED_ARTIFACT,"بلا رابطٍ نشِطٍ ولا يُبلَغ من شاشةِ هدف"
DEP-01,Equipments/fleet_depreciation_profiles.php,SEED_ARTIFACT,"بلا رابطٍ نشِطٍ ولا يُبلَغ من شاشةِ هدف"
DEP-01,Employees/employee_contracts.php,SEED_ARTIFACT,"بلا رابطٍ نشِطٍ ولا يُبلَغ من شاشةِ هدف"
DEP-01,Employees/employee_contracts_details.php,SEED_ARTIFACT,"بلا رابطٍ نشِطٍ ولا يُبلَغ من شاشةِ هدف"
DEP-01,Employees/employee_profile.php,SEED_ARTIFACT,"بلا رابطٍ نشِطٍ ولا يُبلَغ من شاشةِ هدف"
DEP-01,Employees/showcontractemployee.php,SEED_ARTIFACT,"بلا رابطٍ نشِطٍ ولا يُبلَغ من شاشةِ هدف"
DEP-01,Clients/activities.php,SEED_ARTIFACT,"بلا رابطٍ نشِطٍ ولا يُبلَغ من شاشةِ هدف"
DEP-01,Clients/commercial_risks.php,SEED_ARTIFACT,"بلا رابطٍ نشِطٍ ولا يُبلَغ من شاشةِ هدف"
DEP-01,Clients/tenders.php,SEED_ARTIFACT,"بلا رابطٍ نشِطٍ ولا يُبلَغ من شاشةِ هدف"
DEP-01,Clients/pricelists.php,SEED_ARTIFACT,"بلا رابطٍ نشِطٍ ولا يُبلَغ من شاشةِ هدف"
DEP-01,Clients/products.php,LIVE_LINK_OWNER,"رابطٌ نشِطٌ في سايدبارِ الدور 12"
DEP-01,Clients/units_of_measure.php,SEED_ARTIFACT,"بلا رابطٍ نشِطٍ ولا يُبلَغ من شاشةِ هدف"
DEP-01,Clients/contract_amendments.php,SEED_ARTIFACT,"بلا رابطٍ نشِطٍ ولا يُبلَغ من شاشةِ هدف"
DEP-01,Clients/contract_events.php,SEED_ARTIFACT,"بلا رابطٍ نشِطٍ ولا يُبلَغ من شاشةِ هدف"
DEP-01,Finance/events_list_fin.php,SEED_ARTIFACT,"بلا رابطٍ نشِطٍ ولا يُبلَغ من شاشةِ هدف"
DEP-01,Finance/budget_form_fin.php,SEED_ARTIFACT,"بلا رابطٍ نشِطٍ ولا يُبلَغ من شاشةِ هدف"
DEP-01,FinRequests/dept_inbox.php,SEED_ARTIFACT,"بلا رابطٍ نشِطٍ ولا يُبلَغ من شاشةِ هدف"
DEP-01,Finance/variance_monitor_fin.php,SEED_ARTIFACT,"بلا رابطٍ نشِطٍ ولا يُبلَغ من شاشةِ هدف"
DEP-01,Clients/contract_commitments.php,SEED_ARTIFACT,"بلا رابطٍ نشِطٍ ولا يُبلَغ من شاشةِ هدف"
DEP-01,Clients/readiness_lines.php,SEED_ARTIFACT,"بلا رابطٍ نشِطٍ ولا يُبلَغ من شاشةِ هدف"
DEP-01,Tickets/tickets_list.php,SEED_ARTIFACT,"بلا رابطٍ نشِطٍ ولا يُبلَغ من شاشةِ هدف"
DEP-01,Tickets/ticket_form.php,SEED_ARTIFACT,"بلا رابطٍ نشِطٍ ولا يُبلَغ من شاشةِ هدف"
DEP-01,main/role_board.php,LIVE_LINK_OWNER,"رابطٌ نشِطٌ في سايدبارِ الدور 12"
DEP-01,Contracts/contract_obligations.php,SEED_ARTIFACT,"بلا رابطٍ نشِطٍ ولا يُبلَغ من شاشةِ هدف"
DEP-01,Approvals/attribution_board.php,SEED_ARTIFACT,"بلا رابطٍ نشِطٍ ولا يُبلَغ من شاشةِ هدف"
DEP-01,Contracts/penalties.php,SEED_ARTIFACT,"بلا رابطٍ نشِطٍ ولا يُبلَغ من شاشةِ هدف"
DEP-01,Operations/containers.php,SEED_ARTIFACT,"بلا رابطٍ نشِطٍ ولا يُبلَغ من شاشةِ هدف"
DEP-01,Workforce/contract_registry.php,SEED_ARTIFACT,"بلا رابطٍ نشِطٍ ولا يُبلَغ من شاشةِ هدف"
DEP-01,Contracts/price_terms.php,SEED_ARTIFACT,"بلا رابطٍ نشِطٍ ولا يُبلَغ من شاشةِ هدف"
DEP-01,Contracts/tax_invoices.php,SEED_ARTIFACT,"بلا رابطٍ نشِطٍ ولا يُبلَغ من شاشةِ هدف"
DEP-01,Contracts/client_statement.php,SEED_ARTIFACT,"بلا رابطٍ نشِطٍ ولا يُبلَغ من شاشةِ هدف"
DEP-01,Contracts/collections.php,SEED_ARTIFACT,"بلا رابطٍ نشِطٍ ولا يُبلَغ من شاشةِ هدف"
DEP-01,Contracts/contract_sites.php,SEED_ARTIFACT,"بلا رابطٍ نشِطٍ ولا يُبلَغ من شاشةِ هدف"
DEP-01,Contracts/contract_lines.php,SEED_ARTIFACT,"بلا رابطٍ نشِطٍ ولا يُبلَغ من شاشةِ هدف"
DEP-01,Contracts/contract_monthly_plan.php,SEED_ARTIFACT,"بلا رابطٍ نشِطٍ ولا يُبلَغ من شاشةِ هدف"
DEP-01,Contracts/contract_resource_plan.php,SEED_ARTIFACT,"بلا رابطٍ نشِطٍ ولا يُبلَغ من شاشةِ هدف"
DEP-01,Contracts/contract_payment_schedule.php,SEED_ARTIFACT,"بلا رابطٍ نشِطٍ ولا يُبلَغ من شاشةِ هدف"
DEP-01,Contracts/contract_guarantees.php,SEED_ARTIFACT,"بلا رابطٍ نشِطٍ ولا يُبلَغ من شاشةِ هدف"
DEP-01,Contracts/plan_actual_link.php,SEED_ARTIFACT,"بلا رابطٍ نشِطٍ ولا يُبلَغ من شاشةِ هدف"
DEP-01,Contracts/contract_baseline.php,SEED_ARTIFACT,"بلا رابطٍ نشِطٍ ولا يُبلَغ من شاشةِ هدف"
DEP-01,Portal/workspace.php,SEED_ARTIFACT,"بلا رابطٍ نشِطٍ ولا يُبلَغ من شاشةِ هدف"
