الحكم,مادي,التركيبة,الوظيفتان,القالب,أفراد,"كتبوا على الطرفين","كتبوا على طرف","يعملون ولم يمسوا","بلا أثر",من
"قدرة بلا استعمال",نعم,SOD-04,"معتمِدُ الحسابِ البنكي / منفِّذُ الدفع",TGT-R6,10,0,2,1,7,
"قدرة بلا استعمال",نعم,SOD-03,"منشئُ المورد / معتمِدُ الحسابِ البنكي",TGT-R12,2,0,2,0,0,
"قدرة بلا استعمال",نعم,SOD-04,"معتمِدُ الحسابِ البنكي / منفِّذُ الدفع",TGT-R12,2,0,1,1,0,
"قدرة بلا استعمال",نعم,SOD-10,"مُعِدُّ الرواتب / مُطلِقُ دفعةِ الرواتبِ منفردًا",TGT-R12,2,0,2,0,0,
"قدرة بلا استعمال",نعم,SOD-10,"مُعِدُّ الرواتب / مُطلِقُ دفعةِ الرواتبِ منفردًا",TGT-R17,2,0,1,0,1,
"قدرة بلا استعمال",نعم,SOD-10,"مُعِدُّ الرواتب / مُطلِقُ دفعةِ الرواتبِ منفردًا",TGT-R2,1,0,1,0,0,
صامت,نعم,SOD-07,"مُعِدُّ المطابقةِ البنكية / معتمِدُ المطابقة",TGT-R18,20,0,0,0,20,
صامت,نعم,SOD-03,"منشئُ المورد / معتمِدُ الحسابِ البنكي",TGT-R16,3,0,0,0,3,
صامت,نعم,SOD-10,"مُعِدُّ الرواتب / مُطلِقُ دفعةِ الرواتبِ منفردًا",TGT-R13,3,0,0,1,2,
صامت,نعم,SOD-10,"مُعِدُّ الرواتب / مُطلِقُ دفعةِ الرواتبِ منفردًا",TGT-R16,3,0,0,0,3,
صامت,نعم,SOD-03,"منشئُ المورد / معتمِدُ الحسابِ البنكي",TGT-R17,2,0,0,1,1,
صامت,نعم,SOD-03,"منشئُ المورد / معتمِدُ الحسابِ البنكي",TGT-R23,2,0,0,1,1,
صامت,نعم,SOD-03,"منشئُ المورد / معتمِدُ الحسابِ البنكي",TGT-R25,2,0,0,1,1,
صامت,نعم,SOD-03,"منشئُ المورد / معتمِدُ الحسابِ البنكي",TGT-R26,2,0,0,1,1,
صامت,نعم,SOD-03,"منشئُ المورد / معتمِدُ الحسابِ البنكي",TGT-R4,2,0,0,1,1,
صامت,نعم,SOD-04,"معتمِدُ الحسابِ البنكي / منفِّذُ الدفع",TGT-R4,2,0,0,1,1,
صامت,نعم,SOD-07,"مُعِدُّ المطابقةِ البنكية / معتمِدُ المطابقة",TGT-R17,2,0,0,1,1,
صامت,نعم,SOD-10,"مُعِدُّ الرواتب / مُطلِقُ دفعةِ الرواتبِ منفردًا",TGT-R23,2,0,0,1,1,
صامت,نعم,SOD-10,"مُعِدُّ الرواتب / مُطلِقُ دفعةِ الرواتبِ منفردًا",TGT-R25,2,0,0,1,1,
صامت,نعم,SOD-10,"مُعِدُّ الرواتب / مُطلِقُ دفعةِ الرواتبِ منفردًا",TGT-R26,2,0,0,1,1,
صامت,نعم,SOD-03,"منشئُ المورد / معتمِدُ الحسابِ البنكي",TGT-R1,1,0,0,1,0,
صامت,نعم,SOD-03,"منشئُ المورد / معتمِدُ الحسابِ البنكي",TGT-R19,1,0,0,0,1,
صامت,نعم,SOD-04,"معتمِدُ الحسابِ البنكي / منفِّذُ الدفع",TGT-R1,1,0,0,1,0,
صامت,نعم,SOD-04,"معتمِدُ الحسابِ البنكي / منفِّذُ الدفع",TGT-R2,1,0,0,1,0,
صامت,نعم,SOD-04,"معتمِدُ الحسابِ البنكي / منفِّذُ الدفع",TGT-R3,1,0,0,1,0,
صامت,نعم,SOD-04,"معتمِدُ الحسابِ البنكي / منفِّذُ الدفع",TGT-R8,1,0,0,1,0,
صامت,نعم,SOD-07,"مُعِدُّ المطابقةِ البنكية / معتمِدُ المطابقة",TGT-R21,1,0,0,1,0,
صامت,نعم,SOD-10,"مُعِدُّ الرواتب / مُطلِقُ دفعةِ الرواتبِ منفردًا",TGT-R1,1,0,0,1,0,
صامت,نعم,SOD-10,"مُعِدُّ الرواتب / مُطلِقُ دفعةِ الرواتبِ منفردًا",TGT-R19,1,0,0,0,1,
صامت,لا,SOD-11,"مسجِّلُ الأصل / معتمِدُ التخلصِ منه منفردًا",TGT-R18,20,0,0,0,20,
صامت,لا,SOD-11,"مسجِّلُ الأصل / معتمِدُ التخلصِ منه منفردًا",TGT-R15,2,0,0,2,0,
صامت,لا,SOD-11,"مسجِّلُ الأصل / معتمِدُ التخلصِ منه منفردًا",TGT-R17,2,0,0,1,1,
صامت,لا,SOD-11,"مسجِّلُ الأصل / معتمِدُ التخلصِ منه منفردًا",TGT-R4,2,0,0,1,1,
صامت,لا,SOD-11,"مسجِّلُ الأصل / معتمِدُ التخلصِ منه منفردًا",TGT-R1,1,0,0,1,0,
صامت,لا,SOD-11,"مسجِّلُ الأصل / معتمِدُ التخلصِ منه منفردًا",TGT-R19,1,0,0,0,1,
صامت,لا,SOD-11,"مسجِّلُ الأصل / معتمِدُ التخلصِ منه منفردًا",TGT-R21,1,0,0,1,0,
صامت,لا,SOD-11,"مسجِّلُ الأصل / معتمِدُ التخلصِ منه منفردًا",TGT-R24,1,0,0,1,0,
صامت,لا,SOD-11,"مسجِّلُ الأصل / معتمِدُ التخلصِ منه منفردًا",TGT-R28,1,0,0,1,0,
صامت,لا,SOD-11,"مسجِّلُ الأصل / معتمِدُ التخلصِ منه منفردًا",TGT-R29,1,0,0,0,1,
