id	name	code	owner_role_id	is_link	is_quick
1	العملاء	Clients/clients.php	1	1	1
2	المشاريع	Projects/projects.php	1	1	1
3	الصلاحيات	main/users.php	1	1	1
4	مركز التقارير	Reports/reports.php	1	1	1
5	أنواع المعدات	Equipments/equipments_types.php	1	1	1
6	مركز التقارير	Reports/reports.php	2	1	1
7	الموظفون	Employees/employees.php	4	1	1
8	المعدات	Equipments/equipments_fleet.php	3	1	1
9	شاشة التشغيل	Oprators/oprators.php	6	0	1
10	تسجيل الوحدات	Timesheet/timesheet_type.php	5	1	1
11	الإعدادات	Settings/settings.php	1	1	1
12	سجل النشاط	ActivityLogs/activity_logs.php	1	1	1
14	مشرفو الموردين	main/project_users.php	2	1	1
15	المشرفين	main/project_users.php	3	1	1
16	المشرفين	main/project_users.php	4	1	1
17	إدارة المعاونين	main/project_users.php	5	1	1
18	المشرفين	main/project_users.php	6	1	1
20	العقود	Contracts/contracts.php	1	1	1
21	ملف عقد المشروع	Contracts/contracts_details.php	1	0	0
22	الموردون	Suppliers/suppliers.php	2	1	1
23	التشغيل	Oprators/select_project.php	3	1	1
24	الإعدادات	Settings/settings.php	2	0	1
25	عقود الموردين	Suppliers/supplierscontracts.php	2	1	1
26	ملف عقد المورد	Suppliers/supplierscontracts_details.php	2	0	1
27	المعدات	Equipments/equipments_drivers.php	4	0	1
28	مركز التقارير	Reports/reports.php	5	1	1
29	توزيع المشغّلين	movement/project_drivers.php	6	0	1
30	الورديات	movement/movement_operations.php	6	1	1
31	مركز التقارير	Reports/reports.php	4	1	1
32	مركز التقارير	Reports/reports.php	3	1	1
34	متابعة المشروع	movement/map_page.php	6	1	1
35	العملاء	Clients/clients.php	12	1	1
36	المشاريع	Projects/projects.php	12	1	1
37	العقود	Contracts/contracts.php	12	1	1
38	تصنيفات الأعطال	Equipments/manage_failure_codes.php	13	1	1
40	الأنواع والموديلات	Equipments/fleet_models.php	3	1	1
41	إعداد الإهلاك	Equipments/fleet_depreciation_profiles.php	3	1	1
42	البلاغات (غير مفعّلة)	Maintenance/breakdowns.php	13	0	1
43	أوامر الصيانة	Maintenance/orders.php	13	1	1
44	الفحص الفني اليومي	Maintenance/inspections.php	13	1	1
45	الصيانة الوقائية	Maintenance/preventive_plans.php	13	1	1
46	إعدادات الصيانة	Maintenance/master_data.php	13	1	1
47	السجل التشغيلي للعامل	Workforce/worker_register.php	4	1	1
48	عقود العاملين	Workforce/worker_contract.php	4	1	1
50	الإجازات والغياب	Workforce/worker_leave_absence.php	4	1	1
