id	name	code	owner_role_id	is_link	is_quick
1	حالة العملاء	Clients/clients.php	1	1	1
2	حالة المشاريع	Projects/projects.php	1	1	1
3	إدارة الصلاحيات	main/users.php	1	1	1
4	شاشة التقارير	Reports/reports.php	1	1	1
5	شاشة انواع المعدات	Equipments/equipments_types.php	1	1	1
6	شاشة التقارير	Reports/reports.php	2	1	1
7	علاقات الموظفين	Employees/employees.php	4	1	1
8	إدارة المعدات	Equipments/equipments_fleet.php	3	1	1
9	شاشة التشغيل	Oprators/oprators.php	6	0	1
10	تسجيل الوحدات	Timesheet/timesheet_type.php	5	1	1
11	الإعدادات	Settings/settings.php	1	1	1
12	سجل النشاطات	ActivityLogs/activity_logs.php	1	1	1
14	إدارة مشرفي الموردين	main/project_users.php	2	1	1
15	المشرفين	main/project_users.php	3	1	1
16	المشرفين	main/project_users.php	4	1	1
17	إدارة المعاونين	main/project_users.php	5	1	1
18	المشرفين	main/project_users.php	6	1	1
20	إدارة العقود	Contracts/contracts.php	1	1	1
21	تفاصيل عقد المشاريع	Contracts/contracts_details.php	1	0	0
22	علاقات الموردين	Suppliers/suppliers.php	2	1	1
23	التشغيل	Oprators/select_project.php	3	1	1
24	الاعدادات	Settings/settings.php	2	0	1
25	عقود الموردين	Suppliers/supplierscontracts.php	2	1	1
26	تفاصيل عقد المورد	Suppliers/supplierscontracts_details.php	2	0	1
27	المعدات	Equipments/equipments_drivers.php	4	0	1
28	التقارير	Reports/reports.php	5	1	1
29	توزيع المشغلين	movement/project_drivers.php	6	0	1
30	إدارة الورديات	movement/movement_operations.php	6	1	1
31	التقارير	Reports/reports.php	4	1	1
32	التقارير	Reports/reports.php	3	1	1
34	حالة المشروع	movement/map_page.php	6	1	1
35	إدارة العملاء	Clients/clients.php	12	1	1
36	إدارة المبيعات	Projects/projects.php	12	1	1
37	إدارة العقود	Contracts/contracts.php	12	1	1
38	تصنيف الاعطال	Equipments/manage_failure_codes.php	13	1	1
40	سجل النوع والموديل	Equipments/fleet_models.php	3	1	1
41	ملف الإهلاك المالي	Equipments/fleet_depreciation_profiles.php	3	1	1
42	البلاغات (غير مفعّلة)	Maintenance/breakdowns.php	13	0	1
43	أوامر الصيانة	Maintenance/orders.php	13	1	1
44	التفتيش الفني	Maintenance/inspections.php	13	1	1
45	الخطة الوقائية	Maintenance/preventive_plans.php	13	1	1
46	إعدادات الصيانة	Maintenance/master_data.php	13	1	1
47	سجل العامل التشغيلي	Workforce/worker_register.php	4	1	1
48	عقود العاملين	Workforce/worker_contract.php	4	1	1
50	الإجازات والغياب	Workforce/worker_leave_absence.php	4	1	1
51	التحرّك والنقل	Workforce/worker_movement.php	4	1	1
52	وحدات السكن	Workforce/housing_units.php	4	1	1
53	تقييم العاملين	Workforce/worker_evaluation.php	4	1	1
54	تسوية العاملين	Workforce/worker_settlement.php	4	1	1
55	الاحتياج والتخطيط	Workforce/workforce_requirement.php	4	1	1
56	السجل التشغيلي	Workforce/worker_worklog.php	4	1	1
57	المسميات الوظيفية	Employees/job_titles.php	4	1	1
58	أدوار الموظفين	Employees/employee_roles.php	4	1	1
59	السائقون والمشغّلون	Employees/equipment_operators.php	4	1	1
60	إدارة المستخدمين	main/users.php	15	1	1
61	إدارة المعاونين الشاملة	main/all_assistants.php	15	1	1
62	عقود الموظفين	Employees/employee_contracts.php	4	0	1
63	تفاصيل عقد الموظف	Employees/employee_contracts_details.php	4	0	1
64	بطاقة الموظف	Employees/employee_profile.php	4	0	1
