path	family	suffix	class	rank	reason	bytes	mtime	sha1
docs/ACTION_GUARD_GUIDE_ar.md	ACTION_GUARD_GUIDE_ar	0	متخصصة نافذة	4	دليل استخدام/تشغيل	4604	2026-07-07 18:01	f8ec39b964c2f57238f23a2dedf9b2058af2c4b3
docs/ARCHITECTURE_CURRENT_SYSTEM_v10_ar.md	ARCHITECTURE_CURRENT_SYSTEM_v10_ar	0	مستبدلة	2	استبدلها v21	15628	2026-08-01 20:13	3d83bbba65d39f9780244d58bf4fab7164e66f09
docs/ARCHITECTURE_CURRENT_SYSTEM_v11_ar.md	ARCHITECTURE_CURRENT_SYSTEM_v11_ar	0	مستبدلة	2	استبدلها v21	14352	2026-08-01 20:13	52b6700788e8fdd6e657ead6d65f3f192df27649
docs/ARCHITECTURE_CURRENT_SYSTEM_v13_ar.md	ARCHITECTURE_CURRENT_SYSTEM_v13_ar	0	مستبدلة	2	استبدلها v21	16970	2026-08-06 14:44	16041768702218a4921f8e7378a6e28476b1beb3
docs/ARCHITECTURE_CURRENT_SYSTEM_v14_ar.md	ARCHITECTURE_CURRENT_SYSTEM_v14_ar	0	مستبدلة	2	استبدلها v21	22515	2026-08-06 20:30	736e6ada00790c52b13105e0ea84ce76e2e4c6ae
docs/ARCHITECTURE_CURRENT_SYSTEM_v15_ar.md	ARCHITECTURE_CURRENT_SYSTEM_v15_ar	0	مستبدلة	2	استبدلها v21	17294	2026-08-06 22:22	2b1e820fb22768173d1faf650e80c61e78365e36
docs/ARCHITECTURE_CURRENT_SYSTEM_v16_ar.md	ARCHITECTURE_CURRENT_SYSTEM_v16_ar	0	مستبدلة	2	استبدلها v21	25422	2026-08-08 10:31	2805729b2d6a42af6c2197cfe43650cef710d135
docs/ARCHITECTURE_CURRENT_SYSTEM_v17_ar.md	ARCHITECTURE_CURRENT_SYSTEM_v17_ar	0	مستبدلة	2	استبدلها v21	21191	2026-08-08 13:51	d7ac9bccc604d7625fcaaa8e2df35fa9679691a3
docs/ARCHITECTURE_CURRENT_SYSTEM_v18_ar.md	ARCHITECTURE_CURRENT_SYSTEM_v18_ar	0	مستبدلة	2	استبدلها v21	18008	2026-08-08 19:55	f5fa1427e8ca974000dc75061c2298d8173a8ceb
docs/ARCHITECTURE_CURRENT_SYSTEM_v19_ar.md	ARCHITECTURE_CURRENT_SYSTEM_v19_ar	0	مستبدلة	2	استبدلها v21	14479	2026-08-08 20:34	39f8fc5241e8d63cad9d34ddee129d71b6f260d5
docs/ARCHITECTURE_CURRENT_SYSTEM_v20_ar.md	ARCHITECTURE_CURRENT_SYSTEM_v20_ar	0	مستبدلة	2	استبدلها v21	21903	2026-08-09 03:07	613877b2d3cd80300e67cc3d77340b41d624ab5c
docs/ARCHITECTURE_CURRENT_SYSTEM_v21_ar.md	ARCHITECTURE_CURRENT_SYSTEM_v21_ar	0	حاكمة نافذة	2	المرجع المعماري As-Built النافذ	40012	2026-08-11 14:56	00857e759fffe2dcc57c6e38f5494ffa60505eb7
docs/ARCHITECTURE_CURRENT_SYSTEM_v2_ar.md	ARCHITECTURE_CURRENT_SYSTEM_v2_ar	0	مستبدلة	2	استبدلها v21	102015	2026-07-07 17:28	5963bf2944fc5d7f615e7133b5fdd14dc68187f3
docs/ARCHITECTURE_CURRENT_SYSTEM_v3_ar.md	ARCHITECTURE_CURRENT_SYSTEM_v3_ar	0	مستبدلة	2	استبدلها v21	98717	2026-07-10 14:16	2ed334e0b6e9bdd4c98c87788a72bb9e170fa6f8
docs/ARCHITECTURE_CURRENT_SYSTEM_v4_ar.md	ARCHITECTURE_CURRENT_SYSTEM_v4_ar	0	مستبدلة	2	استبدلها v21	16789	2026-07-12 16:50	a2722ecba19f8284e0f2b6f7ad0c10968ae0e5f6
docs/ARCHITECTURE_CURRENT_SYSTEM_v5_ar.md	ARCHITECTURE_CURRENT_SYSTEM_v5_ar	0	مستبدلة	2	استبدلها v21	24459	2026-07-14 01:56	e149f7aff58e24a3fd210ce5a44d4b9f712adc75
docs/ARCHITECTURE_CURRENT_SYSTEM_v6_ar.md	ARCHITECTURE_CURRENT_SYSTEM_v6_ar	0	مستبدلة	2	استبدلها v21	20389	2026-07-16 15:59	77266a0defcbb6e08f018082aa4765b92f0fd9a1
docs/ARCHITECTURE_CURRENT_SYSTEM_v7_ar.md	ARCHITECTURE_CURRENT_SYSTEM_v7_ar	0	مستبدلة	2	استبدلها v21	26307	2026-07-17 21:33	560aa472872ae6487305bc04cb5f447f6cd5178f
docs/ARCHITECTURE_CURRENT_SYSTEM_v8_ar.md	ARCHITECTURE_CURRENT_SYSTEM_v8_ar	0	مستبدلة	2	استبدلها v21	34091	2026-08-01 20:13	d0106ecd56cf49c6ae17db31da97a60dee20b25d
docs/ARCHITECTURE_CURRENT_SYSTEM_v9_ar.md	ARCHITECTURE_CURRENT_SYSTEM_v9_ar	0	مستبدلة	2	استبدلها v21	16831	2026-08-01 20:13	261bd800f9276c38cfde227a3738872c2afb0e8e
docs/CMP03_EXECUTION_LOG_ar.md	CMP03_EXECUTION_LOG_ar	0	سجل تنفيذ حي	7	محضر تنفيذ	20921	2026-08-05 08:42	82038cc9020d0aa70905cd52f879b26e25da1325
docs/CMP03_EXECUTION_PLAN_ar.md	CMP03_EXECUTION_PLAN_ar	0	سجل تنفيذ حي	7	محضر تنفيذ	3129	2026-08-03 17:04	e5bb158d1537c1e3c84ed1f16ee7b42cb635abf4
docs/CMP03_EXTRAS_DECISION_ar.csv	CMP03_EXTRAS_DECISION_ar	0	متخصصة نافذة	4	وثيقة جذر — الأحدث في عائلته	310518	2026-08-03 19:07	2d7cdc6347af805caf2ccaee3313e00e6bf68e65
docs/CMP03_FOLLOWUP_SOURCES_ar.md	CMP03_FOLLOWUP_SOURCES_ar	0	متخصصة نافذة	4	وثيقة جذر — الأحدث في عائلته	401149	2026-08-03 18:50	13ccaf1746329c8c96614c0f80bf1d1c816e8979
docs/CMP03_OVERFLOW_LOG_ar.md	CMP03_OVERFLOW_LOG_ar	0	سجل تنفيذ حي	7	محضر تنفيذ	77498	2026-08-03 18:50	fa3f2ea9002f23701ccd4ff962ca7ecf9e1f26fa
docs/CMP03_REVERSE_AUDIT_ar.md	CMP03_REVERSE_AUDIT_ar	0	تقرير تدقيق	6	تقرير تدقيق سابق	20281	2026-08-05 08:37	94a48d91c94e2a0a0b1da434f7d6969c0cf71529
docs/CON02_ACTIVATION_REPORT_ar.md	CON02_ACTIVATION_REPORT_ar	0	سجل تنفيذ حي	7	محضر تنفيذ	14393	2026-08-01 20:13	9408f5fd4a63b7313f8bf43bb75592187974ee3f
docs/CON02_CHANGES_AND_TESTING_GUIDE_ar.md	CON02_CHANGES_AND_TESTING_GUIDE_ar	0	متخصصة نافذة	4	دليل استخدام/تشغيل	13079	2026-08-01 20:13	a429e89a13bc7be5a43a88fa291a0200f876cc71
