الرتبة	الطبقة	الإدارة	التابعُ له	المراحل	المجموعات	ظهورُ الشاشات	الشاشاتُ المملوكة	الأفعال	الفصلُ في FRD	الحكمُ والملاحظة
1	L1+L2	مكتبُ الرئيس التنفيذي والنواب	—	9	18	25	7	10	—	أعلى الهيكل — الرئيسُ التنفيذيُّ وثلاثةُ نواب
2	L3	إدارة التشغيل	نائبُ العمليات	9	22	42	8	14	الفصلُ ٤ — إدارة التشغيل	متوازيةٌ — وتحتها فرعان متوازيان: الإداراتُ التشغيليةُ ومديرو المواقع
3	L3	المبيعات والعقود	نائبُ الشؤون المالية والاستثمار	10	26	42	22	27	الفصلُ ٥ — المبيعات والعقود	متوازيةٌ — تملك العقدَ والتغطيةَ والأسعار
4	L3	إدارة الموردين	نائبُ الشؤون المالية والاستثمار	11	29	45	18	24	الفصلُ ٦ — إدارة الموردين	متوازيةٌ — تملك عقدَ الموردِ والحصصَ والحاويات
5	L3	إدارة الأسطول	نائبُ الشؤون المالية والاستثمار	10	23	37	13	17	الفصلُ ٧ — إدارة الأسطول	متوازيةٌ — تملك الأصلَ والوثائقَ والعدّادات
6	L3	المالية والخزينة	نائبُ الشؤون المالية والاستثمار	12	40	63	38	45	الفصلُ ٨ — المالية والخزينة	متوازيةٌ — تملك الدفاترَ والذممَ والخزينة
7	L3	التمويل والملكية	نائبُ الشؤون المالية والاستثمار	9	21	33	14	18	الفصلُ ٩ — التمويل والملكية	متوازيةٌ — تملك الملكيةَ وأنماطَ التمويل
8	L3	إدارة المشتريات المركزية	نائبُ الشؤون المالية والاستثمار	◆ لا دورة	◆ لا مجموعات	◆ لا شاشات	◆ لا شاشات	◆ لا أفعال	◆ لا فصلَ بعد	◆ إدارةٌ مستكملة: الشراءُ الاستراتيجيُّ والاعتماداتُ فوق سقفِ التشغيليةِ والعقودُ الإطارية
9	L3	الموارد البشرية	نائبُ الشؤون الإدارية والحوكمة	11	23	34	13	17	الفصلُ ١٠ — الموارد البشرية	متوازيةٌ — تملك العلاقةَ الوظيفيةَ والمسيّر
10	L3	شؤونُ العاملين بالمشروعات	نائبُ الشؤون الإدارية والحوكمة	◆ لا دورة	◆ لا مجموعات	◆ لا شاشات	◆ لا شاشات	◆ لا أفعال	◆ لا فصلَ بعد	◆ وحدةٌ مستكملة: العقودُ المشروعيةُ المؤقتةُ والتعبئةُ والتسريحُ الميداني
11	L3	إدارة المخاطر المؤسسية	◆ الرئيسُ التنفيذيُّ مباشرةً	9	9	18	20	36	—	◆ تتبع الرئيسَ التنفيذيَّ مباشرةً في طبقةٍ موازيةٍ للحوكمةِ والالتزام — فاستقلالُها عمّن تراقبهم شرطُ فاعليتها · وتملك المنهجَ والقياسَ والتحدي والتجميعَ والتصعيدَ لا ملكيةَ مخاطرِ الإدارات
12	L3	الحوكمة والالتزام	◆ الرئيسُ التنفيذيُّ مباشرةً	11	32	41	33	41	الفصلُ ١١ — الحوكمة والالتزام	◆ رقابيةٌ تتبع الرئيسَ مباشرةً — تملك الصلاحياتِ والاستثناءاتِ وسجلَّ التدقيقِ وفصلَ الواجبات · ولا تملك منهجَ المخاطرِ ولا قياسَها
13	L3	مركز البلاغات	نائبُ الشؤون الإدارية والحوكمة	10	15	21	13	19	الفصلُ ١٢ — مركز البلاغات	◆ مركزٌ رقابيٌّ وخدميٌّ عابرٌ للإدارات — لا إدارةً مركزيةً بالمعنى نفسِه للمالية
14	L4 · الفرعُ الأول	إدارة الصيانة	مديرُ التشغيل	9	19	34	8	14	الفصلُ ١٣ — إدارة الصيانة	تشغيليةٌ مركزيةٌ — تملك الحكمَ الفنيَّ والجاهزيةَ وشجرةَ الأعطال · ◆ توازي مديري المواقعِ ولا تعلوهم
15	L4 · الفرعُ الأول	القوى التشغيلية	مديرُ التشغيل	10	24	37	11	15	الفصلُ ١٤ — القوى التشغيلية	تشغيليةٌ مركزيةٌ — تملك المشغّلينَ وتأهيلَهم · ◆ توازي مديري المواقع
16	L4 · الفرعُ الأول	النقل والترحيل	مديرُ التشغيل	9	14	23	9	13	الفصلُ ١٥ — النقل والترحيل	تشغيليةٌ مركزيةٌ — تملك أوامرَ الترحيلِ ووسائلَ النقل · ◆ توازي مديري المواقع
17	L4 · الفرعُ الأول	إدارة المشتريات التشغيلية	مديرُ التشغيل	8	13	23	6	13	—	تشغيليةٌ مركزيةٌ — تملك الاحتياجَ التشغيليَّ وأمرَ الشراءِ داخلَ سقفها · ◆ توازي مديري المواقع
18	L4 · الفرعُ الأول	إدارة المخازن	مديرُ التشغيل	8	16	25	11	16	الفصلُ ١٧ — إدارة المخازن	تشغيليةٌ مركزيةٌ — تملك الرصيدَ والتقييمَ والجرد · ◆ توازي مديري المواقع
19	L4 · الفرعُ الثاني	إدارة الموقع	مديرُ التشغيل	11	23	41	11	23	—	◆ وحدةُ موقعٍ تتبع مديرَ التشغيلِ مباشرةً — وتوازي الإداراتَ التشغيليةَ الخمسَ ولا تتبعها · وأعلى سلطةٍ ميدانيةٍ في موقعها
20	—	مساحة عملي	عرضيةٌ لكل الأدوار	5	7	13	10	10	—	◆ ليست إدارةً ولا وحدةً — واجهةٌ عرضيةٌ بلا مديرٍ ولا ميزانيةٍ ولا خطِّ تبعية
—	—	الإجمالي	—	145	345	553	203	246	—	الطبقاتُ الستُّ في الورقة 12
