#	الشاشة	الملف	الإدارة	الطبيعة	ما حددها	أفعالُ اعتماد	أفعالُ كتابة	الأعمدةُ الحاكمةُ اللازمة	حالةُ التصنيف
▸ مكتبُ الرئيس التنفيذي والنواب									
1	اعتمادات الرئيس التنفيذي	ceo_approvals.php	مكتبُ الرئيس التنفيذي والنواب	مستندٌ يُعتمد	فيها فعلُ اعتماد	نعم	نعم	السبعةُ كاملةً — ومنها المعتمِدُ وتاريخُه ومرجعُ التفويض	مقترحٌ مقبول
2	العقود والالتزامات المحجوزة أو المصعَّدة	ceo_contracts.php	مكتبُ الرئيس التنفيذي والنواب	مستندٌ يُعتمد	فيها فعلُ اعتماد	نعم	نعم	السبعةُ كاملةً — ومنها المعتمِدُ وتاريخُه ومرجعُ التفويض	مقترحٌ مقبول
3	المخاطر المؤسسية	risk_dept_ceo.php	مكتبُ الرئيس التنفيذي والنواب	قارئة	لا فعلَ كتابةٍ فيها	لا	لا	الكيانُ وحدَه	مقترحٌ مقبول
4	المخاطر والقرارات العليا	ceo_risk.php	مكتبُ الرئيس التنفيذي والنواب	سجلٌّ أو إعداد	فيها فعلُ كتابةِ مجال	لا	نعم	الكيانُ والمُنشئُ وتاريخُ الإنشاءِ والمرجعُ الأب	مقترحٌ مقبول
5	حوكمة مكتبُ الرئيس التنفيذي والنواب	gov_dept_ceo.php	مكتبُ الرئيس التنفيذي والنواب	قارئة	لا فعلَ كتابةٍ فيها	لا	لا	الكيانُ وحدَه	مقترحٌ مقبول
6	قرار فتح مشروع جديد	project_charter.php	مكتبُ الرئيس التنفيذي والنواب	مستندٌ يُعتمد	فيها فعلُ اعتماد	نعم	نعم	السبعةُ كاملةً — ومنها المعتمِدُ وتاريخُه ومرجعُ التفويض	مقترحٌ مقبول
7	لوحة الرئيس التنفيذي	ceo_board.php	مكتبُ الرئيس التنفيذي والنواب	قارئة	لا فعلَ كتابةٍ فيها	لا	لا	الكيانُ وحدَه	مقترحٌ مقبول
▸ إدارة التشغيل									
8	إسناد المعدات للوحدات	unit_assign.php	إدارة التشغيل	سجلٌّ أو إعداد	فيها فعلُ كتابةِ مجال	لا	نعم	الكيانُ والمُنشئُ وتاريخُ الإنشاءِ والمرجعُ الأب	مقترحٌ مقبول
9	الأداء الشهري للوحدة	unit_perf.php	إدارة التشغيل	سجلٌّ أو إعداد	فيها فعلُ كتابةِ مجال	لا	نعم	الكيانُ والمُنشئُ وتاريخُ الإنشاءِ والمرجعُ الأب	مقترحٌ مقبول
10	الإقفال الشهري للوحدة	monthly_close.php	إدارة التشغيل	مستندٌ يُعتمد	فيها فعلُ كتابةِ مجال	لا	نعم	السبعةُ كاملةً — ومنها المعتمِدُ وتاريخُه ومرجعُ التفويض	مقترحٌ مقبول
11	التوقفات وتحديد المتحمل	stops.php	إدارة التشغيل	سجلٌّ أو إعداد	فيها فعلُ كتابةِ مجال	لا	نعم	الكيانُ والمُنشئُ وتاريخُ الإنشاءِ والمرجعُ الأب	مقترحٌ مقبول
12	المخاطر التشغيلية	risk_dept_ops.php	إدارة التشغيل	قارئة	لا فعلَ كتابةٍ فيها	لا	لا	الكيانُ وحدَه	مقترحٌ مقبول
13	توزيع المعدات والمشغّلين	distribution.php	إدارة التشغيل	سجلٌّ أو إعداد	فيها فعلُ كتابةِ مجال	لا	نعم	الكيانُ والمُنشئُ وتاريخُ الإنشاءِ والمرجعُ الأب	مقترحٌ مقبول
14	حوكمة إدارة التشغيل	gov_dept_ops.php	إدارة التشغيل	قارئة	لا فعلَ كتابةٍ فيها	لا	لا	الكيانُ وحدَه	مقترحٌ مقبول
15	غرفة عمليات المواقع	ops_room.php	إدارة التشغيل	سجلٌّ أو إعداد	فيها فعلُ كتابةِ مجال	لا	نعم	الكيانُ والمُنشئُ وتاريخُ الإنشاءِ والمرجعُ الأب	مقترحٌ مقبول
▸ المبيعات والعقود									
