group,screen,decision_table,my_guess,fields_to_add,current_shell,note,candidates
A,Clients/clients.php,,clients,29,sal_clients,ترجيحي واضحٌ لكن `Clients/client_contacts.php` تطالب بالجدولِ نفسِه,clients(91) | project(125) | operations(478) | equipment_drivers(34) | users(80)
A,Clients/quotation_negotiation.php,,quotations,20,sal_quotation_negotiation,ترجيحي واضحٌ لكن `Clients/quotations.php` تطالب بالجدولِ نفسِه,sal_quotation_revisions(0) | quotations(141)
A,Clients/quotations.php,,quotations,26,sal_quotations,ترجيحي واضحٌ لكن `Clients/quotation_negotiation.php` تطالب بالجدولِ نفسِه,quotations(141) | clients(91) | opportunities(23) | users(80)
A,Contracts/claims.php,,claims,25,sal_claims,ترجيحي واضحٌ وبلا منازع,clients(91) | project(125) | claims(300) | contracts(121) | fin_tax_codes(20)
A,Finance/bank_reconciliation_fin.php,,fin_bank_accounts,16,tre_bank_reconciliation_fin,ترجيحي واضحٌ وبلا منازع,fin_bank_statement_lines(2) | fin_payments(1118) | fin_bank_accounts(20) | tre_recon_difference(0)
A,Maintenance/preventive_plans.php,,mnt_plan,18,mnt_preventive_plans,ترجيحي واضحٌ وبلا منازع,equipments(219) | equipments_types(30) | mnt_plan_task(20) | mnt_lookup(20) | mnt_plan(20) | mnt_order(22)
A,Procurement/proc_packages.php,,proc_package,23,prc_proc_packages · prc_package_lines,ترجيحي واضحٌ وبلا منازع,proc_package(0) | proc_package_member(0) | proc_request(26)
A,Procurement/proc_po_amendments.php,,proc_po_amendment,17,prc_proc_po_amendments,ترجيحي واضحٌ وبلا منازع,proc_po_amendment(0) | proc_order(22) | proc_award(0)
A,Procurement/proc_rfq.php,,proc_rfq,12,prc_proc_rfq,ترجيحي واضحٌ وبلا منازع,proc_rfq(0) | proc_package(0) | proc_supplier(20) | proc_rfq_invite(0)
A,Tickets/ticket_form.php,,tickets,27,tkt_ticket_form,ترجيحي واضحٌ لكن `Tickets/tickets_list.php` تطالب بالجدولِ نفسِه,ticket_events(309) | ticket_attachments(20) | tickets(66) | ticket_transfers(23) | ticket_categories(21)
A,Tickets/tickets_list.php,,tickets,14,tkt_tickets_list,ترجيحي واضحٌ لكن `Tickets/ticket_form.php` تطالب بالجدولِ نفسِه,tickets(66) | ticket_workstreams(131) | ticket_types(20) | equipments(219) | project(125) | ticket_categories(21)
A,Transport/transfer_order_form.php,,transfer_orders,25,trp_transfer_order_form,ترجيحي واضحٌ لكن `Transport/transfer_dashboard.php` تطالب بالجدولِ نفسِه,trs_locations(20) | equipments(219) | employees(373) | transfer_cost_lines(39) | transfer_orders(20) | transfer_types(20)
A,Workforce/worker_worklog.php,,v_worker_worklog,10,ops_worker_worklog,ترجيحي واضحٌ وبلا منازع,employees(373) | equipment_drivers(34) | worker_leave_absence(20) | worker_qualification(4) | v_worker_worklog(373) | v_worker_presence(373)
B,Contracts/collections.php,,clients,10,fina_collections,اختر من المرشَّحين,clients(91) | fin_payments(1118)
B,FinRequests/effect_map.php,,fin_event_links,11,fina_effect_map,اختر من المرشَّحين,fin_event_links(10519) | fin_journal_entries(6713) | fin_payments(1118) | fin_dues(23)
B,Finance/cfo_daily_board_fin.php,,fin_budget_lines,7,fina_dashboard_kpi,اختر من المرشَّحين,fin_payments(1118) | fin_budget_lines(102) | fin_budgets(23) | fin_receivables(286) | fin_dues(23) | fin_funding_schedules(57)
B,Finance/financial_statements_fin.php,,fin_journal_lines,8,fina_financial_statements_fin,اختر من المرشَّحين,fin_journal_lines(13426) | fin_journal_entries(6713) | fin_chart_of_accounts(298) | fin_payments(1118)
B,Finance/journal_form_fin.php,,fin_journal_lines,21,fina_journal_form_fin,اختر من المرشَّحين,fin_journal_lines(13426) | fin_financial_events(5256) | fin_journal_entries(6713)
B,Finance/tax_fin.php,,fin_tax_transactions,14,fina_tax_fin,اختر من المرشَّحين,fin_tax_transactions(20) | fin_tax_codes(20)
B,Finance/tre_beneficiary.php,,tre_beneficiaries,14,tre_beneficiary,اختر من المرشَّحين,tre_beneficiaries(0)
B,Finance/tre_liquidity_board.php,,tre_cash_move,6,tre_dashboard_kpi,اختر من المرشَّحين,tre_cash_move(1)
B,Fleet/asset_full_history.php,,equipments,14,flt_asset_full_history,اختر من المرشَّحين,equipments(219) | project(125) | fleet_equipment_history(37) | asset_hour_reconciliations(363)
