code,kind,state,live_code,screen,code_occurrences,files,verdict
acc.define,dictionary,bound_page,page:Finance/management_accounting_fin.php,"دليل الحسابات ومراكز التكلفة",2,tools/m10_ac_gate.php,"used_unbound — يظهر في الكودِ وربطُه غيرُ موثَّق"
ach.range,dictionary,declared_unbuilt,,إنجازي,1,app/Services/Work/WorkItemService.php,"used_unbound — يظهر في الكودِ وربطُه غيرُ موثَّق"
act.upgrade,dictionary,bound_page,page:Governance/activation_patterns.php,"أنماط تفعيل المزايا",1,tools/m14_ac_gate.php,"used_unbound — يظهر في الكودِ وربطُه غيرُ موثَّق"
adv.grant,dictionary,bound_page,page:Workforce/employee_advances.php,"السلف والعهد المالية",0,,"dictionary_only — قاموسٌ بلا أثرٍ في الكود (معلَّق)"
ajax.chats.get_messages,dictionary,bound_page,page:chats/get_messages.php,chats,1,database/migrations/2027_07_30_register_live_actions_in_dictionary.php,"used_unbound — يظهر في الكودِ وربطُه غيرُ موثَّق"
ajax.chats.get_unread_count,dictionary,bound_page,page:chats/get_unread_count.php,chats,1,database/migrations/2027_07_30_register_live_actions_in_dictionary.php,"used_unbound — يظهر في الكودِ وربطُه غيرُ موثَّق"
ajax.contracts.get_contract_equipments,dictionary,bound_page,page:contracts/get_contract_equipments.php,contracts,1,database/migrations/2027_07_30_register_live_actions_in_dictionary.php,"used_unbound — يظهر في الكودِ وربطُه غيرُ موثَّق"
ajax.contracts.get_equipments,dictionary,bound_page,page:contracts/get_equipments.php,contracts,1,database/migrations/2027_07_30_register_live_actions_in_dictionary.php,"used_unbound — يظهر في الكودِ وربطُه غيرُ موثَّق"
ajax.employees.employee_contract_actions_handler,dictionary,bound_page,page:employees/employee_contract_actions_handler.php,employees,1,database/migrations/2027_07_30_register_live_actions_in_dictionary.php,"used_unbound — يظهر في الكودِ وربطُه غيرُ موثَّق"
ajax.employees.get_employee_contract_equipments,dictionary,bound_page,page:employees/get_employee_contract_equipments.php,employees,1,database/migrations/2027_07_30_register_live_actions_in_dictionary.php,"used_unbound — يظهر في الكودِ وربطُه غيرُ موثَّق"
ajax.employees.get_employee_data,dictionary,bound_page,page:employees/get_employee_data.php,employees,1,database/migrations/2027_07_30_register_live_actions_in_dictionary.php,"used_unbound — يظهر في الكودِ وربطُه غيرُ موثَّق"
ajax.employees.get_mine_contracts,dictionary,bound_page,page:employees/get_mine_contracts.php,employees,1,database/migrations/2027_07_30_register_live_actions_in_dictionary.php,"used_unbound — يظهر في الكودِ وربطُه غيرُ موثَّق"
ajax.employees.get_project_hours,dictionary,bound_page,page:employees/get_project_hours.php,employees,1,database/migrations/2027_07_30_register_live_actions_in_dictionary.php,"used_unbound — يظهر في الكودِ وربطُه غيرُ موثَّق"
ajax.equipments.get_contract_stats,dictionary,bound_page,page:equipments/get_contract_stats.php,equipments,1,database/migrations/2027_07_30_register_live_actions_in_dictionary.php,"used_unbound — يظهر في الكودِ وربطُه غيرُ موثَّق"
ajax.equipments.get_equipment_details,dictionary,bound_page,page:equipments/get_equipment_details.php,equipments,1,database/migrations/2027_07_30_register_live_actions_in_dictionary.php,"used_unbound — يظهر في الكودِ وربطُه غيرُ موثَّق"
ajax.equipments.get_mine_contracts,dictionary,bound_page,page:equipments/get_mine_contracts.php,equipments,1,database/migrations/2027_07_30_register_live_actions_in_dictionary.php,"used_unbound — يظهر في الكودِ وربطُه غيرُ موثَّق"
ajax.equipments.get_model_data,dictionary,bound_page,page:equipments/get_model_data.php,equipments,1,database/migrations/2027_07_30_register_live_actions_in_dictionary.php,"used_unbound — يظهر في الكودِ وربطُه غيرُ موثَّق"
ajax.maintenance.get_breakdown_count,dictionary,bound_page,page:maintenance/get_breakdown_count.php,maintenance,1,database/migrations/2027_07_30_register_live_actions_in_dictionary.php,"used_unbound — يظهر في الكودِ وربطُه غيرُ موثَّق"
ajax.maintenance.get_open_orders_count,dictionary,bound_page,page:maintenance/get_open_orders_count.php,maintenance,1,database/migrations/2027_07_30_register_live_actions_in_dictionary.php,"used_unbound — يظهر في الكودِ وربطُه غيرُ موثَّق"
ajax.maintenance.get_project_equipment,dictionary,bound_page,page:maintenance/get_project_equipment.php,maintenance,1,database/migrations/2027_07_30_register_live_actions_in_dictionary.php,"used_unbound — يظهر في الكودِ وربطُه غيرُ موثَّق"
ajax.oprators.get_contract_stats,dictionary,bound_page,page:oprators/get_contract_stats.php,oprators,1,database/migrations/2027_07_30_register_live_actions_in_dictionary.php,"used_unbound — يظهر في الكودِ وربطُه غيرُ موثَّق"
ajax.oprators.get_contract_suppliers,dictionary,bound_page,page:oprators/get_contract_suppliers.php,oprators,1,database/migrations/2027_07_30_register_live_actions_in_dictionary.php,"used_unbound — يظهر في الكودِ وربطُه غيرُ موثَّق"
ajax.oprators.get_mine_contracts,dictionary,bound_page,page:oprators/get_mine_contracts.php,oprators,1,database/migrations/2027_07_30_register_live_actions_in_dictionary.php,"used_unbound — يظهر في الكودِ وربطُه غيرُ موثَّق"
ajax.reports.get_mine_contracts,dictionary,bound_page,page:reports/get_mine_contracts.php,reports,1,database/migrations/2027_07_30_register_live_actions_in_dictionary.php,"used_unbound — يظهر في الكودِ وربطُه غيرُ موثَّق"
ajax.suppliers.get_mine_contracts,dictionary,bound_page,page:suppliers/get_mine_contracts.php,suppliers,1,database/migrations/2027_07_30_register_live_actions_in_dictionary.php,"used_unbound — يظهر في الكودِ وربطُه غيرُ موثَّق"
ajax.suppliers.get_project_hours,dictionary,bound_page,page:suppliers/get_project_hours.php,suppliers,1,database/migrations/2027_07_30_register_live_actions_in_dictionary.php,"used_unbound — يظهر في الكودِ وربطُه غيرُ موثَّق"
ajax.suppliers.get_supplier_contract_equipments,dictionary,bound_page,page:suppliers/get_supplier_contract_equipments.php,suppliers,1,database/migrations/2027_07_30_register_live_actions_in_dictionary.php,"used_unbound — يظهر في الكودِ وربطُه غيرُ موثَّق"
