table,rows,class,evidence,migration_path
action_events,26,CHILD,"ابن معلن في العقد (الأب: actions)","العزل عبر الأب المعلن"
action_impacts,41,CHILD,"ابن معلن في العقد (الأب: actions)","العزل عبر الأب المعلن"
action_writes,68,CHILD,"ابن معلن في العقد (الأب: actions)","العزل عبر الأب المعلن"
api_tokens,9,GLOBAL,"مصنف في العقد: platform","العقد نافذ — لا عمود"
approval_chains,22,CHILD,"ابن معلن في العقد (الأب: dept_policies)","العزل عبر الأب المعلن"
approval_requests,20,CHILD,"مجال مقيد في العقد — العزل عبر قناته المحروسة حصرًا","القناة المقيدة نافذة — وإن رُحّل: اشتقاق من سياق قناته"
approval_steps,20,CHILD,"مجال مقيد في العقد — العزل عبر قناته المحروسة حصرًا","القناة المقيدة نافذة — وإن رُحّل: اشتقاق من سياق قناته"
approval_workflow_rules,20,CHILD,"مجال مقيد في العقد — العزل عبر قناته المحروسة حصرًا","القناة المقيدة نافذة — وإن رُحّل: اشتقاق من سياق قناته"
change_approvals,20,CHILD,"ابن معلن في العقد (الأب: unit_state_changes)","العزل عبر الأب المعلن"
company_user_password_resets,0,GLOBAL,"مصنف في العقد: platform","العقد نافذ — لا عمود"
decision_reasons,21,GLOBAL,"مصنف في العقد: global","العقد نافذ — لا عمود"
deduction_types,20,CHILD,"ابن معلن في العقد (الأب: dept_policies)","العزل عبر الأب المعلن"
ems_sequences,3,CHILD,"مجال مقيد في العقد — العزل عبر قناته المحروسة حصرًا","القناة المقيدة نافذة — وإن رُحّل: اشتقاق من سياق قناته"
ems_sessions,0,CHILD,"مجال مقيد في العقد — العزل عبر قناته المحروسة حصرًا","القناة المقيدة نافذة — وإن رُحّل: اشتقاق من سياق قناته"
entity_licenses,20,GLOBAL,"مصنف في العقد: global","العقد نافذ — لا عمود"
entity_ownership,20,CHILD,"مجال مقيد في العقد — العزل عبر قناته المحروسة حصرًا","القناة المقيدة نافذة — وإن رُحّل: اشتقاق من سياق قناته"
entity_roles,20,GLOBAL,"مصنف في العقد: global","العقد نافذ — لا عمود"
equipments_types,30,GLOBAL,"مصنف في العقد: global","العقد نافذ — لا عمود"
event_consumers,21,GLOBAL,"مصنف في العقد: global","العقد نافذ — لا عمود"
exception_approvals,20,CHILD,"ابن معلن في العقد (الأب: exception_requests)","العزل عبر الأب المعلن"
exception_usages,20,CHILD,"ابن معلن في العقد (الأب: exception_requests)","العزل عبر الأب المعلن"
financing_models,4,CHILD,"مجال مقيد في العقد — العزل عبر قناته المحروسة حصرًا","القناة المقيدة نافذة — وإن رُحّل: اشتقاق من سياق قناته"
founding_mode,2,GLOBAL,"مصنف في العقد: global","العقد نافذ — لا عمود"
governance_flags,0,GLOBAL,"مصنف في العقد: global","العقد نافذ — لا عمود"
guarantees,20,GLOBAL,"مصنف في العقد: global","العقد نافذ — لا عمود"
guard_policies,9,GLOBAL,"مصنف في العقد: global","العقد نافذ — لا عمود"
impact_matrix,57,CHILD,"ابن معلن في العقد (الأب: dept_policies)","العزل عبر الأب المعلن"
legal_entities,58,GLOBAL,"مصنف في العقد: global","العقد نافذ — لا عمود"
mnt_inspection_template_line,277,CHILD,"ابن معلن في العقد (الأب: mnt_inspection_template)","العزل عبر الأب المعلن"
pay_models,20,GLOBAL,"مصنف في العقد: global","العقد نافذ — لا عمود"
permission_approval_steps,0,CHILD,"ابن معلن في العقد (الأب: permission_change_requests)","العزل عبر الأب المعلن"
permission_review_lines,10,CHILD,"ابن معلن في العقد (الأب: permission_review_cycles)","العزل عبر الأب المعلن"
permit_approval_actions,20,CHILD,"ابن معلن في العقد (الأب: permit_requests)","العزل عبر الأب المعلن"
permit_required_approvals,24,CHILD,"ابن معلن في العقد (الأب: permit_types)","العزل عبر الأب المعلن"
permit_status_history,20,CHILD,"ابن معلن في العقد (الأب: permit_requests)","العزل عبر الأب المعلن"
permit_types,20,GLOBAL,"مصنف في العقد: catalog","العقد نافذ — لا عمود"
persons,69,GLOBAL,"مصنف في العقد: global","العقد نافذ — لا عمود"
policy_rules,4,CHILD,"ابن معلن في العقد (الأب: dept_policies)","العزل عبر الأب المعلن"
portal_elements,16,GLOBAL,"مصنف في العقد: global","العقد نافذ — لا عمود"
processed_operations,20,CHILD,"مجال مقيد في العقد — العزل عبر قناته المحروسة حصرًا","القناة المقيدة نافذة — وإن رُحّل: اشتقاق من سياق قناته"
rec_stage_log,152,CHILD,"ابن معلن في العقد (الأب: rec_applications)","العزل عبر الأب المعلن"
report_role_permissions,206,GLOBAL,"مصنف في العقد: global","العقد نافذ — لا عمود"
request_routes,7,GLOBAL,"مصنف في العقد: global","العقد نافذ — لا عمود"
request_types,62,GLOBAL,"مصنف في العقد: global","العقد نافذ — لا عمود"
