الشاشة,الملف,الإدارة,الطبيعة,أفعال اعتماد,أفعال كتابة,الأعمدة اللازمة,الحالة
اعتمادات الرئيس التنفيذي,ceo_approvals.php,مكتبُ الرئيس التنفيذي والنواب,مستندٌ يُعتمد,نعم,نعم,"السبعةُ كاملةً — ومنها المعتمِدُ وتاريخُه ومرجعُ التفويض",معتمد — بتفويض المالك 2026-08-06
العقود والالتزامات المحجوزة أو المصعَّدة,ceo_contracts.php,مكتبُ الرئيس التنفيذي والنواب,مستندٌ يُعتمد,نعم,نعم,"السبعةُ كاملةً — ومنها المعتمِدُ وتاريخُه ومرجعُ التفويض",معتمد — بتفويض المالك 2026-08-06
المخاطر والقرارات العليا,ceo_risk.php,مكتبُ الرئيس التنفيذي والنواب,سجلٌّ أو إعداد,لا,نعم,"الكيانُ والمُنشئُ وتاريخُ الإنشاءِ والمرجعُ الأب",معتمد — بتفويض المالك 2026-08-06
قرار فتح مشروع جديد,project_charter.php,مكتبُ الرئيس التنفيذي والنواب,مستندٌ يُعتمد,نعم,نعم,"السبعةُ كاملةً — ومنها المعتمِدُ وتاريخُه ومرجعُ التفويض",معتمد — بتفويض المالك 2026-08-06
لوحة الرئيس التنفيذي,ceo_board.php,مكتبُ الرئيس التنفيذي والنواب,قارئة,لا,لا,"الكيانُ وحدَه",معتمد — بتفويض المالك 2026-08-06
إسناد المعدات للوحدات,unit_assign.php,إدارة التشغيل,سجلٌّ أو إعداد,لا,نعم,"الكيانُ والمُنشئُ وتاريخُ الإنشاءِ والمرجعُ الأب",معتمد — بتفويض المالك 2026-08-06
الأداء الشهري للوحدة,unit_perf.php,إدارة التشغيل,سجلٌّ أو إعداد,لا,نعم,"الكيانُ والمُنشئُ وتاريخُ الإنشاءِ والمرجعُ الأب",معتمد — بتفويض المالك 2026-08-06
الإقفال الشهري للوحدة,monthly_close.php,إدارة التشغيل,مستندٌ يُعتمد,لا,نعم,"السبعةُ كاملةً — ومنها المعتمِدُ وتاريخُه ومرجعُ التفويض",معتمد — بتفويض المالك 2026-08-06
التوقفات وتحديد المتحمل,stops.php,إدارة التشغيل,سجلٌّ أو إعداد,لا,نعم,"الكيانُ والمُنشئُ وتاريخُ الإنشاءِ والمرجعُ الأب",معتمد — بتفويض المالك 2026-08-06
توزيع المعدات والمشغّلين,distribution.php,إدارة التشغيل,سجلٌّ أو إعداد,لا,نعم,"الكيانُ والمُنشئُ وتاريخُ الإنشاءِ والمرجعُ الأب",معتمد — بتفويض المالك 2026-08-06
غرفة عمليات المواقع,ops_room.php,إدارة التشغيل,سجلٌّ أو إعداد,لا,نعم,"الكيانُ والمُنشئُ وتاريخُ الإنشاءِ والمرجعُ الأب",معتمد — بتفويض المالك 2026-08-06
آليات تعديل السعر,price_adjust.php,المبيعات والعقود,سجلٌّ أو إعداد,لا,نعم,"الكيانُ والمُنشئُ وتاريخُ الإنشاءِ والمرجعُ الأب",معتمد — بتفويض المالك 2026-08-06
أحكام العقد — العملات والمقدم والمهل,contract_terms.php,المبيعات والعقود,مستندٌ يُعتمد,لا,نعم,"السبعةُ كاملةً — ومنها المعتمِدُ وتاريخُه ومرجعُ التفويض",معتمد — بتفويض المالك 2026-08-06
الأعمال غير المفوترة,unbilled.php,المبيعات والعقود,سجلٌّ أو إعداد,لا,نعم,"الكيانُ والمُنشئُ وتاريخُ الإنشاءِ والمرجعُ الأب",معتمد — بتفويض المالك 2026-08-06
التزام العقد بنوع المعدة,coverage.php,المبيعات والعقود,مستندٌ يُعتمد,لا,نعم,"السبعةُ كاملةً — ومنها المعتمِدُ وتاريخُه ومرجعُ التفويض",معتمد — بتفويض المالك 2026-08-06
الجزاءات والحوافز التعاقدية,penalties.php,المبيعات والعقود,سجلٌّ أو إعداد,لا,نعم,"الكيانُ والمُنشئُ وتاريخُ الإنشاءِ والمرجعُ الأب",معتمد — بتفويض المالك 2026-08-06
الفرص والزيارات والمناقصات,opportunities.php,المبيعات والعقود,سجلٌّ أو إعداد,لا,نعم,"الكيانُ والمُنشئُ وتاريخُ الإنشاءِ والمرجعُ الأب",معتمد — بتفويض المالك 2026-08-06
