الملف,"الشاشة القانونية","اسم الشاشة","الورقة المالكة","العمود الزائد","حكم CMP المقترح",السبب,"قرار المالك (يدخل المستند / يُلغى)","الحكم النافذ (مصالحة U10 · ق-17)"
Portal/my_achievement.php,my_achievement.php,إنجازي,"00 · الإدارة التنفيذية",المؤشر,"يدخل المستند","خبرة تشغيلية راكمها النظام",,"يدخل المستند — ق-17 إبقاء شامل"
Portal/my_achievement.php,my_achievement.php,إنجازي,"00 · الإدارة التنفيذية","الفترة السابقة (بالطول نفسه)","مرشح للإلغاء","شبهة ازدواج مع «الفترة» في الشاشة نفسها",,"يبقى موسومًا «شبهة ازدواج» — لا حذف (ق-17) ويُراجع وظيفيًّا عند توحيد شاشته"
Portal/my_portal.php,my_portal.php,بوابتي,"00 · الإدارة التنفيذية",الوقت,"يدخل المستند","موثق بالاسم نفسه في: change_password.php",,"يدخل المستند — ق-17 إبقاء شامل"
Portal/my_portal.php,my_portal.php,بوابتي,"00 · الإدارة التنفيذية",الفعل,"يدخل المستند","موثق بالاسم نفسه في: effect_map.php · perm_explain.php",,"يدخل المستند — ق-17 إبقاء شامل"
Portal/my_portal.php,my_portal.php,بوابتي,"00 · الإدارة التنفيذية",الهدف,"يدخل المستند","خبرة تشغيلية راكمها النظام",,"يدخل المستند — ق-17 إبقاء شامل"
Portal/my_portal.php,my_portal.php,بوابتي,"00 · الإدارة التنفيذية",النتيجة,"يدخل المستند","خبرة تشغيلية راكمها النظام",,"يدخل المستند — ق-17 إبقاء شامل"
FinRequests/my_requests.php,my_requests.php,طلباتي,"00 · الإدارة التنفيذية",المبرّر,"يدخل المستند","موثق بالاسم نفسه في: transfer_req.php",,"يدخل المستند — ق-17 إبقاء شامل"
FinRequests/my_requests.php,my_requests.php,طلباتي,"00 · الإدارة التنفيذية",المستفيد,"يدخل المستند","موثق بالاسم نفسه في: org_permits.php · payments.php · licenses.php",,"يدخل المستند — ق-17 إبقاء شامل"
FinRequests/my_requests.php,my_requests.php,طلباتي,"00 · الإدارة التنفيذية",المبلغ,"يدخل المستند","موثق بالاسم نفسه في: tickets_dept.php · ticket_open.php · payments.php",,"يدخل المستند — ق-17 إبقاء شامل"
FinRequests/my_requests.php,my_requests.php,طلباتي,"00 · الإدارة التنفيذية",الحدث,"يدخل المستند","خبرة تشغيلية راكمها النظام",,"يدخل المستند — ق-17 إبقاء شامل"
FinRequests/my_requests.php,my_requests.php,طلباتي,"00 · الإدارة التنفيذية",أُنشئ,"يدخل المستند","خبرة تشغيلية راكمها النظام",,"يدخل المستند — ق-17 إبقاء شامل"
Finance/budget_master.php,budget_master.php,"الموازنة العامة","00 · الإدارة التنفيذية",ميزانيات,"يدخل المستند","خبرة تشغيلية راكمها النظام",,"يدخل المستند — ق-17 إبقاء شامل"
Finance/budget_master.php,budget_master.php,"الموازنة العامة","00 · الإدارة التنفيذية",المخطط,"يدخل المستند","خبرة تشغيلية راكمها النظام",,"يدخل المستند — ق-17 إبقاء شامل"
Finance/budget_master.php,budget_master.php,"الموازنة العامة","00 · الإدارة التنفيذية",الفعلي,"يدخل المستند","خبرة تشغيلية راكمها النظام",,"يدخل المستند — ق-17 إبقاء شامل"
Finance/budget_master.php,budget_master.php,"الموازنة العامة","00 · الإدارة التنفيذية",الانحراف,"يدخل المستند","موثق بالاسم نفسه في: budget_dept.php · consumption_rate.php · cycle_time.php",,"يدخل المستند — ق-17 إبقاء شامل"
Governance/signing_authority.php,delegations.php,"التفويض بالتوقيع","00 · الإدارة التنفيذية","نيابة عن","يدخل المستند","خبرة تشغيلية راكمها النظام",,"يدخل المستند — ق-17 إبقاء شامل"
Governance/signing_authority.php,delegations.php,"التفويض بالتوقيع","00 · الإدارة التنفيذية",المدة,"يدخل المستند","موثق بالاسم نفسه في: ceo_contracts.php · project_charter.php",,"يدخل المستند — ق-17 إبقاء شامل"
Workforce/contract_registry.php,contract_registry.php,"سجل العقود الموحَّد","00 · الإدارة التنفيذية",الطريقة,"يدخل المستند","خبرة تشغيلية راكمها النظام",,"يدخل المستند — ق-17 إبقاء شامل"
Workforce/contract_registry.php,contract_registry.php,"سجل العقود الموحَّد","00 · الإدارة التنفيذية",المبلغ,"يدخل المستند","موثق بالاسم نفسه في: tickets_dept.php · ticket_open.php · payments.php",,"يدخل المستند — ق-17 إبقاء شامل"
Workforce/contract_registry.php,contract_registry.php,"سجل العقود الموحَّد","00 · الإدارة التنفيذية",المعدل,"يدخل المستند","خبرة تشغيلية راكمها النظام",,"يدخل المستند — ق-17 إبقاء شامل"
Workforce/contract_registry.php,contract_registry.php,"سجل العقود الموحَّد","00 · الإدارة التنفيذية","الأعلام السبعة","يدخل المستند","خبرة تشغيلية راكمها النظام",,"يدخل المستند — ق-17 إبقاء شامل"
Workforce/contract_registry.php,contract_registry.php,"سجل العقود الموحَّد","00 · الإدارة التنفيذية",الدورية,"يدخل المستند","موثق بالاسم نفسه في: ticket_periodic.php",,"يدخل المستند — ق-17 إبقاء شامل"
Workforce/contract_registry.php,contract_registry.php,"سجل العقود الموحَّد","00 · الإدارة التنفيذية",السريان,"يدخل المستند","خبرة تشغيلية راكمها النظام",,"يدخل المستند — ق-17 إبقاء شامل"
Workforce/contract_registry.php,contract_registry.php,"سجل العقود الموحَّد","00 · الإدارة التنفيذية",التحمّل,"يدخل المستند","خبرة تشغيلية راكمها النظام",,"يدخل المستند — ق-17 إبقاء شامل"
Workforce/contract_registry.php,contract_registry.php,"سجل العقود الموحَّد","00 · الإدارة التنفيذية",إنهاء,"يدخل المستند","خبرة تشغيلية راكمها النظام",,"يدخل المستند — ق-17 إبقاء شامل"
Workforce/contract_registry.php,contract_registry.php,"سجل العقود الموحَّد","00 · الإدارة التنفيذية",الحافز,"يدخل المستند","موثق بالاسم نفسه في: payroll.php",,"يدخل المستند — ق-17 إبقاء شامل"
Workforce/contract_registry.php,contract_registry.php,"سجل العقود الموحَّد","00 · الإدارة التنفيذية",الأساس,"يدخل المستند","موثق بالاسم نفسه في: deductions.php",,"يدخل المستند — ق-17 إبقاء شامل"
Workforce/contract_registry.php,contract_registry.php,"سجل العقود الموحَّد","00 · الإدارة التنفيذية",العتبة,"يدخل المستند","خبرة تشغيلية راكمها النظام",,"يدخل المستند — ق-17 إبقاء شامل"
Workforce/contract_registry.php,contract_registry.php,"سجل العقود الموحَّد","00 · الإدارة التنفيذية",السقف/الأدنى,"يدخل المستند","خبرة تشغيلية راكمها النظام",,"يدخل المستند — ق-17 إبقاء شامل"
Workforce/contract_registry.php,contract_registry.php,"سجل العقود الموحَّد","00 · الإدارة التنفيذية",التوزيع,"يدخل المستند","خبرة تشغيلية راكمها النظام",,"يدخل المستند — ق-17 إبقاء شامل"
Workforce/contract_registry.php,contract_registry.php,"سجل العقود الموحَّد","00 · الإدارة التنفيذية","قبل ← بعد","يدخل المستند","خبرة تشغيلية راكمها النظام",,"يدخل المستند — ق-17 إبقاء شامل"
Workforce/contract_registry.php,contract_registry.php,"سجل العقود الموحَّد","00 · الإدارة التنفيذية",الشخص,"يدخل المستند","موثق بالاسم نفسه في: users.php · portal_users.php · user_capacities.php",,"يدخل المستند — ق-17 إبقاء شامل"
Workforce/contract_registry.php,contract_registry.php,"سجل العقود الموحَّد","00 · الإدارة التنفيذية",الفئة,"يدخل المستند","موثق بالاسم نفسه في: tickets_dept.php · ticket_open.php · stock.php",,"يدخل المستند — ق-17 إبقاء شامل"
Workforce/contract_registry.php,contract_registry.php,"سجل العقود الموحَّد","00 · الإدارة التنفيذية","نموذج الأجر","يدخل المستند","موثق بالاسم نفسه في: project_contracts.php",,"يدخل المستند — ق-17 إبقاء شامل"
Workforce/contract_registry.php,contract_registry.php,"سجل العقود الموحَّد","00 · الإدارة التنفيذية",المشروع,"يدخل المستند","موثق بالاسم نفسه في: margin.php · ops_room.php · site_work_calendar.php",,"يدخل المستند — ق-17 إبقاء شامل"
Workforce/contract_registry.php,contract_registry.php,"سجل العقود الموحَّد","00 · الإدارة التنفيذية",المدة,"يدخل المستند","موثق بالاسم نفسه في: ceo_contracts.php · project_charter.php",,"يدخل المستند — ق-17 إبقاء شامل"
Workforce/contract_registry.php,contract_registry.php,"سجل العقود الموحَّد","00 · الإدارة التنفيذية",المصدر,"يدخل المستند","موثق بالاسم نفسه في: equipments.php · journal.php",,"يدخل المستند — ق-17 إبقاء شامل"
admin/org_assignments.php,org_assignments.php,"التكليفات التنظيمية","00 · الإدارة التنفيذية",الشخص,"يدخل المستند","موثق بالاسم نفسه في: users.php · portal_users.php · user_capacities.php",,"يدخل المستند — ق-17 إبقاء شامل"
admin/org_assignments.php,org_assignments.php,"التكليفات التنظيمية","00 · الإدارة التنفيذية",النائب,"يدخل المستند","خبرة تشغيلية راكمها النظام",,"يدخل المستند — ق-17 إبقاء شامل"
admin/org_assignments.php,org_assignments.php,"التكليفات التنظيمية","00 · الإدارة التنفيذية",الوقت,"يدخل المستند","موثق بالاسم نفسه في: change_password.php",,"يدخل المستند — ق-17 إبقاء شامل"
admin/org_assignments.php,org_assignments.php,"التكليفات التنظيمية","00 · الإدارة التنفيذية",الفعل,"يدخل المستند","موثق بالاسم نفسه في: effect_map.php · perm_explain.php",,"يدخل المستند — ق-17 إبقاء شامل"
admin/org_assignments.php,org_assignments.php,"التكليفات التنظيمية","00 · الإدارة التنفيذية",قبل,"يدخل المستند","خبرة تشغيلية راكمها النظام",,"يدخل المستند — ق-17 إبقاء شامل"
admin/org_assignments.php,org_assignments.php,"التكليفات التنظيمية","00 · الإدارة التنفيذية",بعد,"يدخل المستند","خبرة تشغيلية راكمها النظام",,"يدخل المستند — ق-17 إبقاء شامل"
admin/org_assignments.php,org_assignments.php,"التكليفات التنظيمية","00 · الإدارة التنفيذية",بواسطة,"يدخل المستند","خبرة تشغيلية راكمها النظام",,"يدخل المستند — ق-17 إبقاء شامل"
Clients/commercial_risks.php,commercial_risks.php,"المخاطر التجارية","00 · الإدارة التنفيذية",الكود,"يدخل المستند","خبرة تشغيلية راكمها النظام",,"يدخل المستند — ق-17 إبقاء شامل"
Clients/commercial_risks.php,commercial_risks.php,"المخاطر التجارية","00 · الإدارة التنفيذية",الارتباط,"يدخل المستند","خبرة تشغيلية راكمها النظام",,"يدخل المستند — ق-17 إبقاء شامل"
Finance/financial_statements_fin.php,fin_statements.php,"القوائم المالية","00 · الإدارة التنفيذية",الكود,"يدخل المستند","خبرة تشغيلية راكمها النظام",,"يدخل المستند — ق-17 إبقاء شامل"
Finance/financial_statements_fin.php,fin_statements.php,"القوائم المالية","00 · الإدارة التنفيذية",المبلغ,"يدخل المستند","موثق بالاسم نفسه في: tickets_dept.php · ticket_open.php · payments.php",,"يدخل المستند — ق-17 إبقاء شامل"
Finance/financial_statements_fin.php,fin_statements.php,"القوائم المالية","00 · الإدارة التنفيذية",الإيرادات,"يدخل المستند","خبرة تشغيلية راكمها النظام",,"يدخل المستند — ق-17 إبقاء شامل"
Finance/financial_statements_fin.php,fin_statements.php,"القوائم المالية","00 · الإدارة التنفيذية","إجمالي الإيرادات","يدخل المستند","خبرة تشغيلية راكمها النظام",,"يدخل المستند — ق-17 إبقاء شامل"
Finance/financial_statements_fin.php,fin_statements.php,"القوائم المالية","00 · الإدارة التنفيذية",المصروفات,"يدخل المستند","خبرة تشغيلية راكمها النظام",,"يدخل المستند — ق-17 إبقاء شامل"
Finance/financial_statements_fin.php,fin_statements.php,"القوائم المالية","00 · الإدارة التنفيذية","إجمالي المصروفات","يدخل المستند","خبرة تشغيلية راكمها النظام",,"يدخل المستند — ق-17 إبقاء شامل"
Finance/financial_statements_fin.php,fin_statements.php,"القوائم المالية","00 · الإدارة التنفيذية","صافي الربح / (الخسارة)","يدخل المستند","خبرة تشغيلية راكمها النظام",,"يدخل المستند — ق-17 إبقاء شامل"
Finance/financial_statements_fin.php,fin_statements.php,"القوائم المالية","00 · الإدارة التنفيذية",الحساب,"مرشح للإلغاء","شبهة ازدواج مع «رقم الحساب» في الشاشة نفسها",,"يبقى موسومًا «شبهة ازدواج» — لا حذف (ق-17) ويُراجع وظيفيًّا عند توحيد شاشته"
Finance/financial_statements_fin.php,fin_statements.php,"القوائم المالية","00 · الإدارة التنفيذية",الأصول,"يدخل المستند","خبرة تشغيلية راكمها النظام",,"يدخل المستند — ق-17 إبقاء شامل"
Finance/financial_statements_fin.php,fin_statements.php,"القوائم المالية","00 · الإدارة التنفيذية","إجمالي الأصول","يدخل المستند","خبرة تشغيلية راكمها النظام",,"يدخل المستند — ق-17 إبقاء شامل"
Finance/financial_statements_fin.php,fin_statements.php,"القوائم المالية","00 · الإدارة التنفيذية",الخصوم,"يدخل المستند","خبرة تشغيلية راكمها النظام",,"يدخل المستند — ق-17 إبقاء شامل"
Finance/financial_statements_fin.php,fin_statements.php,"القوائم المالية","00 · الإدارة التنفيذية","حقوق الملكية","يدخل المستند","خبرة تشغيلية راكمها النظام",,"يدخل المستند — ق-17 إبقاء شامل"
Finance/financial_statements_fin.php,fin_statements.php,"القوائم المالية","00 · الإدارة التنفيذية","إجمالي الخصوم + حقوق الملكية","يدخل المستند","خبرة تشغيلية راكمها النظام",,"يدخل المستند — ق-17 إبقاء شامل"
