screen	title	state	buttons	columns	filters	inputs	links	tables	forms
Portal/ceo_board.php	المركزُ التنفيذيُّ للرئيسِ والنواب	pending	25	16	0	15	9	1	1
Portal/my_tasks.php	مركزُ العمل	pending	76	13	0	22	49	1	22
Operations/sites_board.php	لوحةُ إدارةِ التشغيل	pending	44	0	0	0	140	0	0
Contracts/contracts.php	العقود	pending	198	64	11	51	373	1	143
Timesheet/timesheet.php	التايم شيتُ اليوميّ	pending	55	47	7	46	26	2	2
Maintenance/orders.php	أمرُ الصيانة	pending	31	34	7	0	66	1	2
Suppliers/supplier_profile.php	ملفُّ المورد	pending	42	16	0	0	33	2	0
Risk/risk_register.php	المخاطر	pending	36	8	6	3	25	1	3
FinRequests/request_form.php	طلبُ الدفعِ الماليّ	pending	49	0	7	12	20	0	2
Finance/approvals_inbox.php	صندوقُ الاعتمادات	pending	105	116	0	0	70	4	1
