screen	title	state	buttons	columns	filters	inputs	links	tables	forms
Portal/ceo_board.php	المركزُ التنفيذيُّ للرئيسِ والنواب	pending	4	16	0	15	21	1	1
Portal/my_tasks.php	مركزُ العمل	pending	33	13	0	22	91	1	22
Operations/sites_board.php	لوحةُ إدارةِ التشغيل	pending	1	0	0	0	182	0	0
Contracts/contracts.php	العقود	pending	163	64	11	51	419	1	143
Timesheet/timesheet.php	التايم شيتُ اليوميّ	pending	12	47	7	46	68	2	2
Maintenance/orders.php	أمرُ الصيانة	pending	5	34	7	0	80	1	2
Suppliers/supplier_profile.php	ملفُّ المورد	pending	2	16	0	0	63	2	0
Risk/risk_register.php	المخاطر	pending	22	8	6	3	46	1	3
FinRequests/request_form.php	طلبُ الدفعِ الماليّ	pending	6	0	7	12	62	0	2
Finance/approvals_inbox.php	صندوقُ الاعتمادات	pending	65	116	0	0	125	4	1
