role_id	role	uid	seq	group	label	href	route	matrix_n	status	canonical
1	ادارة التشغيل	4	1	لوحة الإدارة	الرئيسية	../main/role_board.php	main/role_board.php	354	PENDING_OWNER	الرئيسية — الشخصية — التقارير والتحليلات
1	ادارة التشغيل	4	2	لوحة الإدارة	المراسلات	../chats/index.php	chats/index.php	351	PENDING_OWNER	المراسلات
1	ادارة التشغيل	4	3	لوحة الإدارة	مهامي	../Portal/my_tasks.php	Portal/my_tasks.php	2	APPROVED	مهامي
1	ادارة التشغيل	4	4	لوحة الإدارة	إنجازي	../Portal/my_achievement.php	Portal/my_achievement.php	3	APPROVED	إنجازي
1	ادارة التشغيل	4	5	لوحة الإدارة	بوابتي	../Portal/my_portal.php	Portal/my_portal.php	348	APPROVED	بوابتي
1	ادارة التشغيل	4	6	لوحة الإدارة	طلباتي	../FinRequests/my_requests.php	FinRequests/my_requests.php	4	APPROVED	طلباتي
1	ادارة التشغيل	4	7	لوحة الإدارة	غرفة عمليات المواقع	../Operations/operations_room.php	Operations/operations_room.php	276	APPROVED	غرفة عمليات المواقع
1	ادارة التشغيل	4	8	لوحة الإدارة	توزيع المعدات والمشغّلين	../Operations/distribution_space.php	Operations/distribution_space.php	271	APPROVED	تكليف المشغّل على المعدة
1	ادارة التشغيل	4	9	خطة الشهر	عقود العملاء	../Contracts/contracts.php	Contracts/contracts.php	197	APPROVED	عقود العملاء
1	ادارة التشغيل	4	10	خطة الشهر	التزام العقد بنوع المعدة	../Contracts/contract_coverage.php	Contracts/contract_coverage.php	219	APPROVED	التزام العقد بنوع المعدة
1	ادارة التشغيل	4	11	خطة الشهر	الوحدات التعاقدية المرقَّمة	../Operations/containers.php	Operations/containers.php	270	APPROVED	إسناد المعدات للوحدات
1	ادارة التشغيل	4	12	خطة الشهر	حصص الموردين من العقود	../Suppliers/shares_coverage.php	Suppliers/shares_coverage.php	251	PENDING_DEDUP	حصص الموردين من العقود
1	ادارة التشغيل	4	13	خطة الشهر	توزيع وحدات المورد على معداته	../Operations/equipment_quota.php	Operations/equipment_quota.php	272	APPROVED	توزيع وحدات المورد على معداته
1	ادارة التشغيل	4	14	خطة الشهر	خطة عمل الغد	../Operations/daily_plan.php	Operations/daily_plan.php	340	APPROVED	خطة عمل الغد
1	ادارة التشغيل	4	15	توزيع الموارد	سجل المعدات	../Equipments/equipments.php	Equipments/equipments.php	256	PENDING_DEDUP	سجل المعدات
1	ادارة التشغيل	4	16	توزيع الموارد	تكليف المشغّل على المعدة	../Operations/distribution_space.php#3	Operations/distribution_space.php	271	APPROVED	تكليف المشغّل على المعدة
1	ادارة التشغيل	4	17	توزيع الموارد	إسناد المعدات للوحدات	../Operations/containers.php#2	Operations/containers.php	270	APPROVED	إسناد المعدات للوحدات
1	ادارة التشغيل	4	18	توزيع الموارد	جاهزية المعدات للتشغيل	../Fleet/readiness_board.php	Fleet/readiness_board.php	262	APPROVED	جاهزية المعدات للتشغيل
1	ادارة التشغيل	4	19	توزيع الموارد	طلبات الترحيل	../Transport/transfer_requests.php	Transport/transfer_requests.php	301	APPROVED	طلبات الترحيل
1	ادارة التشغيل	4	20	اعتماد الوحدات	تسجيل التايم شيت والإنتاج	../Timesheet/timesheet.php	Timesheet/timesheet.php	341	APPROVED	تسجيل التايم شيت والإنتاج — الموقع
1	ادارة التشغيل	4	21	اعتماد الوحدات	الإنتاج والقياس	../Operations/production.php	Operations/production.php	273	APPROVED	الإنتاج والقياس
1	ادارة التشغيل	4	22	اعتماد الوحدات	التوقفات وتحديد المتحمل	../Operations/stops_unattributed.php	Operations/stops_unattributed.php	267	APPROVED	التوقفات وتحديد المتحمل
1	ادارة التشغيل	4	23	اعتماد الوحدات	ما ينتظر اعتمادي	../Approvals/hours_approval.php	Approvals/hours_approval.php	24	APPROVED	ما ينتظر اعتمادي
1	ادارة التشغيل	4	24	اعتماد الوحدات	صندوقُ موافقاتي — ما ينتظر يدي	../Approvals/requests.php	Approvals/requests.php	23	PENDING_OWNER	صندوقُ موافقاتي — ما ينتظر يدي
1	ادارة التشغيل	4	25	اعتماد الوحدات	تصنيف قواعد المنع	../Settings/guard_classification.php	Settings/guard_classification.php	51	APPROVED	تصنيف قواعد المنع — الحوكمة — الظهور وضبط البوابة
1	ادارة التشغيل	4	26	متابعة الانحراف	الأداء الشهري للوحدة	../Operations/unit_perf.php	Operations/unit_perf.php	268	APPROVED	الأداء الشهري للوحدة
1	ادارة التشغيل	4	27	متابعة الانحراف	متابعة انحراف المنفَّذ عن المخطط	../Finance/variance_monitor_fin.php	Finance/variance_monitor_fin.php	153	APPROVED	متابعة انحراف المنفَّذ عن المخطط
1	ادارة التشغيل	4	28	متابعة الانحراف	هامش الربح للعقد والواقعة	../Reports/margin_report.php	Reports/margin_report.php	14	PENDING_OWNER	هامش الربح للعقد والواقعة
1	ادارة التشغيل	4	29	متابعة الانحراف	أوامر الصيانة	../Maintenance/orders.php	Maintenance/orders.php	278	APPROVED	أوامر الصيانة
1	ادارة التشغيل	4	30	متابعة الانحراف	تصنيف الأعطال وأسبابها	../Equipments/manage_failure_codes.php	Equipments/manage_failure_codes.php	265	PENDING_OWNER	تصنيف الأعطال وأسبابها
1	ادارة التشغيل	4	31	متابعة الانحراف	بلاغات إدارتي	../Tickets/dept_inbox.php	Tickets/dept_inbox.php	334	APPROVED	صندوقُ بلاغاتِ الإدارة
1	ادارة التشغيل	4	32	إقفال الفترة	الإقفال الشهري للوحدة	../Operations/monthly_close.php	Operations/monthly_close.php	269	APPROVED	الإقفال الشهري للوحدة
1	ادارة التشغيل	4	33	إقفال الفترة	الأعمال غير المفوترة	../Operations/unbilled.php	Operations/unbilled.php	214	APPROVED	الأعمال غير المفوترة
1	ادارة التشغيل	4	34	إقفال الفترة	ميزانية إدارتي	../Finance/budget_dept.php	Finance/budget_dept.php	230	APPROVED	ميزانية إدارتي — التمويل
1	ادارة التشغيل	4	35	إقفال الفترة	إنجاز الإدارة	../Portal/dept_achievement.php	Portal/dept_achievement.php	231	APPROVED	إنجاز الإدارة
1	ادارة التشغيل	4	36	إقفال الفترة	مركز التقارير	../emsreports/index.php	emsreports/index.php	19	PENDING_DEDUP	مركز التقارير — الحوكمة
1	ادارة التشغيل	4	37	سجلات التشغيل	المشاريع والمواقع	../Projects/projects.php	Projects/projects.php	200	APPROVED	المشاريع والمواقع
1	ادارة التشغيل	4	38	سجلات التشغيل	سجل العملاء	../Clients/clients.php	Clients/clients.php	199	APPROVED	سجل العملاء
1	ادارة التشغيل	4	39	سجلات التشغيل	أرصدة المخزون بحالاتها	../Procurement/stock_proc.php	Procurement/stock_proc.php	289	APPROVED	أرصدة المخزون بحالاتها
1	ادارة التشغيل	4	40	سجلات التشغيل	وثائق المعدات والمشغّلين	../Equipments/equipment_documents.php	Equipments/equipment_documents.php	260	APPROVED	وثائق المعدات والمشغّلين
1	ادارة التشغيل	4	41	طلبات التشغيل	طلبات الشراء	../Procurement/requests_proc.php	Procurement/requests_proc.php	284	APPROVED	طلبات الشراء
1	ادارة التشغيل	4	42	طلبات التشغيل	طلبات الدفع والسداد	../Finance/payments_fin.php	Finance/payments_fin.php	109	APPROVED	طلبات الدفع والسداد
1	ادارة التشغيل	4	43	فريق العمل	إدارة المعاونين	../main/project_users.php	main/project_users.php	358	PENDING_OWNER	إدارة المعاونين
1	ادارة التشغيل	4	44	خارج الوثيقة — بانتظار قرار المالك	مساحة عملي	../main/my_workspace.php	main/my_workspace.php	349	APPROVED	مساحة عملي
1	ادارة التشغيل	4	45	العمل اليومي	طلب مالي جديد	../FinRequests/request_form.php	FinRequests/request_form.php	130	PENDING_OWNER	طلب مالي جديد
1	ادارة التشغيل	4	46	العمل اليومي	تسجيل الوحدات	../Timesheet/timesheet_type.php	Timesheet/timesheet_type.php	22	APPROVED	تسجيل التايم شيت والإنتاج — الحوكمة
1	ادارة التشغيل	4	47	العمل اليومي	أحكام العميل والمورد والمشغّل	../Finance/unit_records_fin.php	Finance/unit_records_fin.php	143	PENDING_OWNER	أحكام العميل والمورد والمشغّل
1	ادارة التشغيل	4	48	العمل اليومي	لوحة الإسناد اليومي	../Approvals/attribution_board.php	Approvals/attribution_board.php	35	APPROVED	لوحة الإسناد اليومي
1	ادارة التشغيل	4	49	العمل اليومي	ميزانية إدارتي	../Finance/budget_form_fin.php	Finance/budget_form_fin.php	124	PENDING_OWNER	ميزانية إدارتي — المالية
1	ادارة التشغيل	4	50	العمل اليومي	سجل الأحداث المالية	../Finance/events_list_fin.php	Finance/events_list_fin.php	123	APPROVED	سجل الأحداث المالية
1	ادارة التشغيل	4	51	العمل اليومي	التكاليف والربحية	../Finance/cost_report_fin.php	Finance/cost_report_fin.php	119	APPROVED	التكاليف والربحية بالمركز
1	ادارة التشغيل	4	52	العمل اليومي	أنواع المعدات	../Equipments/equipments_types.php	Equipments/equipments_types.php	264	PENDING_OWNER	أنواع المعدات وفئاتها
1	ادارة التشغيل	4	53	العمل اليومي	الإعدادات	../Settings/settings.php	Settings/settings.php	20	APPROVED	الإعدادات
1	ادارة التشغيل	4	54	العمل اليومي	مصفوفة التزامات العقد	../Contracts/contract_obligations.php	Contracts/contract_obligations.php	211	PENDING_DEDUP	مصفوفة التزامات العقد
1	ادارة التشغيل	4	55	العمل اليومي	مواقع التنفيذ	../Projects/sites.php	Projects/sites.php	64	PENDING_OWNER	مواقع التنفيذ
1	ادارة التشغيل	4	56	العمل اليومي	شروط تعديل السعر	../Contracts/price_terms.php	Contracts/price_terms.php	220	PENDING_OWNER	شروط تعديل السعر
1	ادارة التشغيل	4	57	العمل اليومي	خطة موارد العقد	../Contracts/contract_resource_plan.php	Contracts/contract_resource_plan.php	209	APPROVED	خطة موارد العقد
1	ادارة التشغيل	4	58	العمل اليومي	مركز التقارير	../Reports/reports.php	Reports/reports.php	13	APPROVED	مركز التقارير — التنفيذية
1	ادارة التشغيل	4	59	العمل اليومي	سجل الوحدات اليومية	../Reports/daily_units_report.php	Reports/daily_units_report.php	12	PENDING_OWNER	سجل الوحدات اليومية
1	ادارة التشغيل	4	60	العمل اليومي	الاعتمادات المتأخرة والوثائق	../Reports/approval_lag_report.php	Reports/approval_lag_report.php	11	PENDING_OWNER	الاعتمادات المتأخرة والوثائق
1	ادارة التشغيل	4	61	العمل اليومي	لوحة مدير التشغيل	../admin/ops_manager_board.php	admin/ops_manager_board.php	47	PENDING_OWNER	لوحة مدير التشغيل
1	ادارة التشغيل	4	62	العمل اليومي	سجل النشاط	../ActivityLogs/activity_logs.php	ActivityLogs/activity_logs.php	42	APPROVED	سجل التدقيق والاطّلاع
1	ادارة التشغيل	4	63	العمل اليومي	المستخلصات	../Contracts/claims.php	Contracts/claims.php	213	APPROVED	المستخلصات والمطالبات
1	ادارة التشغيل	4	64	العمل اليومي	احتساب الجزاءات والحوافز	../Contracts/penalties.php	Contracts/penalties.php	198	APPROVED	الجزاءات والحوافز التعاقدية
1	ادارة التشغيل	4	65	العمل اليومي	التكليفات التنظيمية	../admin/org_assignments.php	admin/org_assignments.php	41	APPROVED	التكليفات التنظيمية
1	ادارة التشغيل	4	66	العمل اليومي	الهيكل التنظيمي	../admin/org_structure.php	admin/org_structure.php	40	APPROVED	الهيكل التنظيمي والمسميات
1	ادارة التشغيل	4	67	المتابعة والموافقات	موافقات إدارتي	../FinRequests/dept_inbox.php	FinRequests/dept_inbox.php	144	APPROVED	موافقات إدارتي
1	ادارة التشغيل	4	68	السجلات الرئيسية	أذونات الدخول والخروج والحركة	../admin/org_permits.php	admin/org_permits.php	344	APPROVED	أذون الزيارة والمركبات الخارجية
1	ادارة التشغيل	4	69	السجلات الرئيسية	الموظفون	../Employees/employees.php	Employees/employees.php	182	APPROVED	سجل الموظفين
1	ادارة التشغيل	4	70	السجلات الرئيسية	المعدات	../Equipments/equipments_fleet.php	Equipments/equipments_fleet.php	261	PENDING_DEDUP	المعدات
1	ادارة التشغيل	4	71	الحوكمة	سجل الكيانات	../Governance/entities_registry.php	Governance/entities_registry.php	63	PENDING_OWNER	سجل الشركات والكيانات
1	ادارة التشغيل	4	72	الحوكمة	التفويض بالتوقيع	../Governance/signing_authority.php	Governance/signing_authority.php	57	PENDING_OWNER	التفويض بالتوقيع
1	ادارة التشغيل	4	73	الحوكمة	التراخيص والكفالات	../Governance/licenses_guarantees.php	Governance/licenses_guarantees.php	62	PENDING_OWNER	التراخيص والكفالات
1	ادارة التشغيل	4	74	الحوكمة	أنماط التفعيل	../Governance/activation_patterns.php	Governance/activation_patterns.php	61	APPROVED	أنماط تفعيل المزايا
1	ادارة التشغيل	4	75	الحوكمة	منح المجال المقيَّد	../Governance/ownership_grants.php	Governance/ownership_grants.php	67	PENDING_OWNER	منح المجال المقيَّد
1	ادارة التشغيل	4	76	التمويل	سجل الممولين	../Financing/financiers_registry.php	Financing/financiers_registry.php	233	APPROVED	سجل الممولين
1	ادارة التشغيل	4	77	التمويل	إنشاء عملية تمويل	../Financing/financing_operation_new.php	Financing/financing_operation_new.php	226	APPROVED	إنشاء عملية تمويل
1	ادارة التشغيل	4	78	الإعدادات والتدقيق	الأنواع والموديلات	../Equipments/fleet_models.php	Equipments/fleet_models.php	263	PENDING_OWNER	موديلات المعدات ومواصفاتها
