الشاشة,الجدول,"تسمية العمود",الحكم,"العمود المقترح",النوع,السبب,"قرار المالك"
ActivityLogs/activity_logs.php,activity_logs,الكيان,BOUND,entity,gov,"يبثُّه `ems_gov_ctx()` من `admin_companies` — موصولٌ سلفًا، لا عمل",
ActivityLogs/activity_logs.php,activity_logs,"المنشئ — الاسم والصفة",MANUAL,created_by,,"مشتقٌّ من `created_by` و`activity_logs` لا يحمله — يلزم قرار",
ActivityLogs/activity_logs.php,activity_logs,"تاريخ الإنشاء",BIND,created_at,derived,"مشتقٌّ من `created_at` القائمِ في `activity_logs` — بلا هجرة",
ActivityLogs/activity_logs.php,activity_logs,"المعتمد — الاسم والصفة",MANUAL,approved_by,,"مشتقٌّ من `approved_by` و`activity_logs` لا يحمله — يلزم قرار",
ActivityLogs/activity_logs.php,activity_logs,"تاريخ الاعتماد",MANUAL,approved_at,,"مشتقٌّ من `approved_at` و`activity_logs` لا يحمله — يلزم قرار",
ActivityLogs/activity_logs.php,activity_logs,"مرجع التفويض",MANUAL,,,"تسميةٌ علائقيةٌ (مرجعٌ لجدولٍ آخر) — عمودٌ نصيٌّ لها يزدوج المصدر",
ActivityLogs/activity_logs.php,activity_logs,الحالة,MANUAL,status,,"مشتقٌّ من `status` و`activity_logs` لا يحمله — يلزم قرار",
ActivityLogs/activity_logs.php,activity_logs,"المرجع الأب",MANUAL,,,"تسميةٌ علائقيةٌ (مرجعٌ لجدولٍ آخر) — عمودٌ نصيٌّ لها يزدوج المصدر",
ActivityLogs/activity_logs.php,activity_logs,المرفق,MANUAL,,,"تسميةٌ علائقيةٌ (مرجعٌ لجدولٍ آخر) — عمودٌ نصيٌّ لها يزدوج المصدر",
ActivityLogs/activity_logs.php,activity_logs,"مركز التكلفة",MANUAL,,,"تسميةٌ علائقيةٌ (مرجعٌ لجدولٍ آخر) — عمودٌ نصيٌّ لها يزدوج المصدر",
ActivityLogs/activity_logs.php,activity_logs,"سعر الصرف ومصدره",MANUAL,,,"تسميةٌ علائقيةٌ (مرجعٌ لجدولٍ آخر) — عمودٌ نصيٌّ لها يزدوج المصدر",
ActivityLogs/activity_logs.php,activity_logs,المستخدم,MANUAL,,,"ليست في المعجم — ولا يُخترع اسمُ عمودٍ لتسميةٍ لم تُدرَس",
ActivityLogs/activity_logs.php,activity_logs,الصفة,NEW,contact_title,text,"لا عمودَ له في `activity_logs` — يُنشأ **اختياريًّا** (NULL)",
ActivityLogs/activity_logs.php,activity_logs,الإدارة,NEW,department,text,"لا عمودَ له في `activity_logs` — يُنشأ **اختياريًّا** (NULL)",
ActivityLogs/activity_logs.php,activity_logs,"نوع العملية",MANUAL,,,"ليست في المعجم — ولا يُخترع اسمُ عمودٍ لتسميةٍ لم تُدرَس",
ActivityLogs/activity_logs.php,activity_logs,"السجل المتأثر",MANUAL,,,"ليست في المعجم — ولا يُخترع اسمُ عمودٍ لتسميةٍ لم تُدرَس",
ActivityLogs/activity_logs.php,activity_logs,"القيمة قبل",MANUAL,,,"ليست في المعجم — ولا يُخترع اسمُ عمودٍ لتسميةٍ لم تُدرَس",
ActivityLogs/activity_logs.php,activity_logs,"القيمة بعد",MANUAL,,,"ليست في المعجم — ولا يُخترع اسمُ عمودٍ لتسميةٍ لم تُدرَس",
ActivityLogs/activity_logs.php,activity_logs,"عنوان IP",MANUAL,,,"ليست في المعجم — ولا يُخترع اسمُ عمودٍ لتسميةٍ لم تُدرَس",
ActivityLogs/activity_logs.php,activity_logs,الجلسة,MANUAL,,,"ليست في المعجم — ولا يُخترع اسمُ عمودٍ لتسميةٍ لم تُدرَس",
ActivityLogs/activity_logs.php,activity_logs,"درجة حساسية البيان",MANUAL,,,"ليست في المعجم — ولا يُخترع اسمُ عمودٍ لتسميةٍ لم تُدرَس",
ActivityLogs/activity_logs.php,activity_logs,"نوع التسجيل",MANUAL,,,"ليست في المعجم — ولا يُخترع اسمُ عمودٍ لتسميةٍ لم تُدرَس",
Approvals/attribution_board.php,role_permissions,الكيان,BOUND,entity,gov,"يبثُّه `ems_gov_ctx()` من `admin_companies` — موصولٌ سلفًا، لا عمل",
Approvals/attribution_board.php,role_permissions,"المنشئ — الاسم والصفة",MANUAL,created_by,,"مشتقٌّ من `created_by` و`role_permissions` لا يحمله — يلزم قرار",
Approvals/attribution_board.php,role_permissions,"المعتمد — الاسم والصفة",MANUAL,approved_by,,"مشتقٌّ من `approved_by` و`role_permissions` لا يحمله — يلزم قرار",
Approvals/attribution_board.php,role_permissions,"مرجع التفويض",MANUAL,,,"تسميةٌ علائقيةٌ (مرجعٌ لجدولٍ آخر) — عمودٌ نصيٌّ لها يزدوج المصدر",
Approvals/attribution_board.php,role_permissions,"المرجع الأب",MANUAL,,,"تسميةٌ علائقيةٌ (مرجعٌ لجدولٍ آخر) — عمودٌ نصيٌّ لها يزدوج المصدر",
Approvals/attribution_board.php,role_permissions,"تاريخ الإنشاء",MANUAL,created_at,,"مشتقٌّ من `created_at` و`role_permissions` لا يحمله — يلزم قرار",
Approvals/attribution_board.php,role_permissions,"تاريخ الاعتماد",MANUAL,approved_at,,"مشتقٌّ من `approved_at` و`role_permissions` لا يحمله — يلزم قرار",
