النوع,المرجع,البيان,القيمة أ,القيمة ب,الفرق,الحكم
قالب↔ورقة,FLT-G1,إدارة الأسطول · G1,هدف 9,مزروع 0,-9,بلا نظيرٍ حيٍّ — بذرُه قرارُ تكوينٍ بيدِ المالك
قالب↔ورقة,FLT-G2,إدارة الأسطول · G2,هدف 16,مزروع 96,80,الحيُّ أوسعُ من هدفِ الورقة — يُقلَّم بقرارٍ أو يُعدَّل الهدف
قالب↔ورقة,FLT-G3,إدارة الأسطول · G3,هدف 32,مزروع 0,-32,بلا نظيرٍ حيٍّ — بذرُه قرارُ تكوينٍ بيدِ المالك
قالب↔ورقة,FLT-G4,إدارة الأسطول · G4,هدف 32,مزروع 69,37,الحيُّ أوسعُ من هدفِ الورقة — يُقلَّم بقرارٍ أو يُعدَّل الهدف
قالب↔ورقة,FLT-G5,إدارة الأسطول · G5,هدف 34,مزروع 0,-34,بلا نظيرٍ حيٍّ — بذرُه قرارُ تكوينٍ بيدِ المالك
قالب↔ورقة,FLT-G6,إدارة الأسطول · G6,هدف 37,مزروع 0,-37,بلا نظيرٍ حيٍّ — بذرُه قرارُ تكوينٍ بيدِ المالك
قالب↔ورقة,FLT-G7,إدارة الأسطول · G7,هدف 37,مزروع 111,74,الحيُّ أوسعُ من هدفِ الورقة — يُقلَّم بقرارٍ أو يُعدَّل الهدف
قالب↔ورقة,FLT-G8,إدارة الأسطول · G8,هدف 37,مزروع 0,-37,بلا نظيرٍ حيٍّ — بذرُه قرارُ تكوينٍ بيدِ المالك
قالب↔ورقة,FLT-G9,إدارة الأسطول · G9,هدف 37,مزروع 0,-37,بلا نظيرٍ حيٍّ — بذرُه قرارُ تكوينٍ بيدِ المالك
قالب↔ورقة,OPS-G1,إدارة التشغيل · G1,هدف 10,مزروع 0,-10,بلا نظيرٍ حيٍّ — بذرُه قرارُ تكوينٍ بيدِ المالك
قالب↔ورقة,OPS-G2,إدارة التشغيل · G2,هدف 24,مزروع 0,-24,بلا نظيرٍ حيٍّ — بذرُه قرارُ تكوينٍ بيدِ المالك
قالب↔ورقة,OPS-G3,إدارة التشغيل · G3,هدف 52,مزروع 0,-52,بلا نظيرٍ حيٍّ — بذرُه قرارُ تكوينٍ بيدِ المالك
قالب↔ورقة,OPS-G4,إدارة التشغيل · G4,هدف 52,مزروع 98,46,الحيُّ أوسعُ من هدفِ الورقة — يُقلَّم بقرارٍ أو يُعدَّل الهدف
قالب↔ورقة,OPS-G5,إدارة التشغيل · G5,هدف 54,مزروع 0,-54,بلا نظيرٍ حيٍّ — بذرُه قرارُ تكوينٍ بيدِ المالك
قالب↔ورقة,OPS-G6,إدارة التشغيل · G6,هدف 57,مزروع 0,-57,بلا نظيرٍ حيٍّ — بذرُه قرارُ تكوينٍ بيدِ المالك
قالب↔ورقة,OPS-G7,إدارة التشغيل · G7,هدف 57,مزروع 149,92,الحيُّ أوسعُ من هدفِ الورقة — يُقلَّم بقرارٍ أو يُعدَّل الهدف
قالب↔ورقة,OPS-G8,إدارة التشغيل · G8,هدف 57,مزروع 0,-57,بلا نظيرٍ حيٍّ — بذرُه قرارُ تكوينٍ بيدِ المالك
قالب↔ورقة,OPS-G9,إدارة التشغيل · G9,هدف 57,مزروع 0,-57,بلا نظيرٍ حيٍّ — بذرُه قرارُ تكوينٍ بيدِ المالك
قالب↔ورقة,MNT-G1,إدارة الصيانة · G1,هدف 6,مزروع 0,-6,بلا نظيرٍ حيٍّ — بذرُه قرارُ تكوينٍ بيدِ المالك
قالب↔ورقة,MNT-G2,إدارة الصيانة · G2,هدف 13,مزروع 0,-13,بلا نظيرٍ حيٍّ — بذرُه قرارُ تكوينٍ بيدِ المالك
قالب↔ورقة,MNT-G3,إدارة الصيانة · G3,هدف 27,مزروع 0,-27,بلا نظيرٍ حيٍّ — بذرُه قرارُ تكوينٍ بيدِ المالك
قالب↔ورقة,MNT-G4,إدارة الصيانة · G4,هدف 27,مزروع 66,39,الحيُّ أوسعُ من هدفِ الورقة — يُقلَّم بقرارٍ أو يُعدَّل الهدف
قالب↔ورقة,MNT-G5,إدارة الصيانة · G5,هدف 29,مزروع 0,-29,بلا نظيرٍ حيٍّ — بذرُه قرارُ تكوينٍ بيدِ المالك
قالب↔ورقة,MNT-G6,إدارة الصيانة · G6,هدف 31,مزروع 0,-31,بلا نظيرٍ حيٍّ — بذرُه قرارُ تكوينٍ بيدِ المالك
قالب↔ورقة,MNT-G7,إدارة الصيانة · G7,هدف 31,مزروع 71,40,الحيُّ أوسعُ من هدفِ الورقة — يُقلَّم بقرارٍ أو يُعدَّل الهدف
قالب↔ورقة,MNT-G8,إدارة الصيانة · G8,هدف 31,مزروع 0,-31,بلا نظيرٍ حيٍّ — بذرُه قرارُ تكوينٍ بيدِ المالك
قالب↔ورقة,MNT-G9,إدارة الصيانة · G9,هدف 31,مزروع 0,-31,بلا نظيرٍ حيٍّ — بذرُه قرارُ تكوينٍ بيدِ المالك
قالب↔ورقة,INV-G1,إدارة المخازن · G1,هدف 8,مزروع 0,-8,بلا نظيرٍ حيٍّ — بذرُه قرارُ تكوينٍ بيدِ المالك
قالب↔ورقة,INV-G2,إدارة المخازن · G2,هدف 11,مزروع 0,-11,بلا نظيرٍ حيٍّ — بذرُه قرارُ تكوينٍ بيدِ المالك
قالب↔ورقة,INV-G3,إدارة المخازن · G3,هدف 17,مزروع 49,32,الحيُّ أوسعُ من هدفِ الورقة — يُقلَّم بقرارٍ أو يُعدَّل الهدف
قالب↔ورقة,INV-G4,إدارة المخازن · G4,هدف 17,مزروع 0,-17,بلا نظيرٍ حيٍّ — بذرُه قرارُ تكوينٍ بيدِ المالك
قالب↔ورقة,INV-G5,إدارة المخازن · G5,هدف 21,مزروع 0,-21,بلا نظيرٍ حيٍّ — بذرُه قرارُ تكوينٍ بيدِ المالك
قالب↔ورقة,INV-G6,إدارة المخازن · G6,هدف 26,مزروع 0,-26,بلا نظيرٍ حيٍّ — بذرُه قرارُ تكوينٍ بيدِ المالك
قالب↔ورقة,INV-G7,إدارة المخازن · G7,هدف 26,مزروع 0,-26,بلا نظيرٍ حيٍّ — بذرُه قرارُ تكوينٍ بيدِ المالك
قالب↔ورقة,INV-G8,إدارة المخازن · G8,هدف 26,مزروع 0,-26,بلا نظيرٍ حيٍّ — بذرُه قرارُ تكوينٍ بيدِ المالك
قالب↔ورقة,INV-G9,إدارة المخازن · G9,هدف 26,مزروع 0,-26,بلا نظيرٍ حيٍّ — بذرُه قرارُ تكوينٍ بيدِ المالك
قالب↔ورقة,RSK-G1,إدارة المخاطر المؤسسية · G1,هدف 3,مزروع 0,-3,بلا نظيرٍ حيٍّ — بذرُه قرارُ تكوينٍ بيدِ المالك
قالب↔ورقة,RSK-G2,إدارة المخاطر المؤسسية · G2,هدف 7,مزروع 0,-7,بلا نظيرٍ حيٍّ — بذرُه قرارُ تكوينٍ بيدِ المالك
قالب↔ورقة,RSK-G3,إدارة المخاطر المؤسسية · G3,هدف 15,مزروع 44,29,الحيُّ أوسعُ من هدفِ الورقة — يُقلَّم بقرارٍ أو يُعدَّل الهدف
قالب↔ورقة,RSK-G4,إدارة المخاطر المؤسسية · G4,هدف 15,مزروع 44,29,الحيُّ أوسعُ من هدفِ الورقة — يُقلَّم بقرارٍ أو يُعدَّل الهدف
قالب↔ورقة,RSK-G5,إدارة المخاطر المؤسسية · G5,هدف 17,مزروع 0,-17,بلا نظيرٍ حيٍّ — بذرُه قرارُ تكوينٍ بيدِ المالك
قالب↔ورقة,RSK-G6,إدارة المخاطر المؤسسية · G6,هدف 20,مزروع 0,-20,بلا نظيرٍ حيٍّ — بذرُه قرارُ تكوينٍ بيدِ المالك
قالب↔ورقة,RSK-G7,إدارة المخاطر المؤسسية · G7,هدف 20,مزروع 54,34,الحيُّ أوسعُ من هدفِ الورقة — يُقلَّم بقرارٍ أو يُعدَّل الهدف
قالب↔ورقة,RSK-G8,إدارة المخاطر المؤسسية · G8,هدف 20,مزروع 0,-20,بلا نظيرٍ حيٍّ — بذرُه قرارُ تكوينٍ بيدِ المالك
قالب↔ورقة,RSK-G9,إدارة المخاطر المؤسسية · G9,هدف 20,مزروع 0,-20,بلا نظيرٍ حيٍّ — بذرُه قرارُ تكوينٍ بيدِ المالك
قالب↔ورقة,PRC-G1,إدارة المشتريات التشغيلية · G1,هدف 9,مزروع 0,-9,بلا نظيرٍ حيٍّ — بذرُه قرارُ تكوينٍ بيدِ المالك
