التاريخ,الشركة,"غير المعتمد","أقدمه بالأيام","مسجَّل الأسبوع","معتمَد الأسبوع",النسبة٪,خرق
2026-08-05,1,0,0,0,0,—,لا
2026-08-05,4,5525,96,5380,0,0,نعم
2026-08-10,1,0,0,0,0,—,لا
2026-08-10,4,145,13,0,5191,—,نعم
2026-08-12,1,0,0,0,0,—,لا
2026-08-12,4,7342,72,8142,0,0,نعم
2026-08-17,1,0,0,0,0,—,لا
2026-08-17,4,7342,77,8142,0,0,نعم
2026-08-17,1,0,0,0,0,—,لا
2026-08-17,4,7348,77,8148,0,0,نعم
2026-08-17,1,0,0,0,0,—,لا
2026-08-17,4,7348,77,8148,0,0,نعم
2026-08-17,1,0,0,0,0,—,لا
2026-08-17,4,7351,77,8151,0,0,نعم
2026-08-31,1,0,0,0,0,—,لا
2026-08-31,4,429,91,0,0,—,نعم
