#,البند,القيمة,الرقمُ المرافق
1,عددُ الشاشاتِ الحيةِ الكليّ,471,تستعمل القشرةَ الموحَّدة: 471 (100٪)
2,الشاشاتُ في النطاقِ المحميِّ بالبوابات,207 (43.9٪ من الحيّ),مخالفاتُها: 0 — وما خارجَه غيرُ مرحَّلٍ بعدُ لا مخالِف
3,شاشاتٌ بمكوّنِ الحالاتِ الموحَّد,232 (49.3٪),شاشاتٌ بشريطِ رحلةِ الكيان: 56
4,جداولُ على المكوّنِ المركزي,275 (76.8٪),تهيئاتٌ محليةٌ باقية: 83 (خارجَ النطاقِ المرحَّل)
5,مصطلحاتٌ ممنوعةٌ ظاهرةٌ للمستخدم,0,القاموسُ الحاكمُ يقيسها آليًّا — بوابةُ المنعِ ٨
6,أنماطٌ موضعيةٌ في الشاشاتِ الحية,2726,ألوانٌ مثبَّتةٌ خارجَ الرموز: 1794
7,كياناتٌ برحلةٍ موحَّدة,11 / 11 (100٪),شاشاتٌ تحمل شريطَها: 56
8,مصفوفةُ التحققِ في القاعدة,663 صفًّا (100٪ من الورقة),ملفاتٌ قابلةٌ للربط: 384 · بمستندٍ ناتجٍ مسمًّى: 346
9,شاشاتٌ تعرض حالتَها التاليةَ بلا لبس,382 (99.5٪ من ملفاتِ المصفوفة),طرقٌ مسدودةٌ (بلا حالةٍ تالية): 0
10,نسبةُ اجتيازِ تضادِّ الوصولِ الرقمي,29/29 = 100٪,نسبةُ اجتيازِ الثباتِ البصريّ: 207/207 = 100٪
11,عمقُ السايدبارِ المتوسط,3 مستوًى,روابطُ التنقلِ النشطة: 1651
12,روابطُ ميتةٌ في التنقل,0 من 407 (0٪),روابطُ بلا مالك: 0 · أدوارٌ بسايدبارٍ نحيف: 0
13,الروابطُ اليتيمةُ المحسومة,174/174 (100٪),معلَّقةٌ بانتظارِ قرار: 0
14,مستخدمون بقالبِ صلاحياتٍ نافذ,76/77 (98.7٪),قوالبُ مبذورةٌ ببنودٍ حية: 29 من 171
15,السقوفُ الماليةُ المحسومة,3/3 (100٪),غيرُ محسومةٍ (Fail-Closed): 0
16,نجاحُ المهمةِ بحسبِ الدور,◆ غيرُ مقيس,متوسطُ الزمنِ والنقرات: ◆ غيرُ مقيس — يلزمه اختبارٌ بشريٌّ بالعُدّةِ الجاهزة
17,الفجواتُ المتبقيةُ معلَنةً بأرقامِها,1,كلُّها بقرارِ مالكٍ أو وثيقةٍ حاكمةٍ — ولا فجوةَ مخفية
