الإدارة,الشاشة,الملف,القرار,الملفُّ الأم,الكيان,القالبُ المستهدَف,الملفُّ الحي,في النطاقِ المرحَّل
مكتب الرئيس التنفيذي والنواب,مؤشرات البلاغات,ticket_kpi.php,تُدمج تبويبًا,ملفُّ البلاغ,البلاغ,قالبُ ملفِّ الكيان,Tickets/ticket_kpi.php,نعم
الحوكمة والالتزام,تفسير مصدر الصلاحية,perm_explain.php,تُحوَّل منظرًا,—,—,قالبُ السجلِّ الجدوليّ,Governance/perm_explain.php,نعم
إدارة المخاطر المؤسسية,تقييم الخطر ونسخُه التاريخية,risk_assessment.php,تُدمج تبويبًا,ملفُّ الخطر,الخطر,قالبُ ملفِّ الكيان,Risk/risk_assessment.php,نعم
المراجع الداخلي المستقل,سجل الاطلاع الحساس للمراجعين,iaf_sensitive_log.php,تُحوَّل منظرًا,—,—,قالبُ السجلِّ الجدوليّ,— غيرُ مبنية,لا
المالية والخزينة,الملتزَم به وأثره في الموازنة,ob_commitments.php,تُحوَّل منظرًا,—,—,قالبُ السجلِّ الجدوليّ,Finance/ob_commitments.php,نعم
المالية والخزينة,المستحق قريبًا والتذكيرات,ob_due_soon.php,تُحوَّل منظرًا,—,—,قالبُ السجلِّ الجدوليّ,Finance/ob_due_soon.php,نعم
المالية والخزينة,الالتزامات المتأخرة والذمم الدائنة,ob_overdue.php,تُحوَّل منظرًا,—,—,قالبُ السجلِّ الجدوليّ,Finance/ob_overdue.php,نعم
المالية والخزينة,آفاق الالتزامات الثلاثة,ob_horizon.php,تُحوَّل منظرًا,—,—,قالبُ السجلِّ الجدوليّ,Finance/ob_horizon.php,نعم
المالية والخزينة,أحكام العقد — العملات والمقدم والمهل,contract_terms.php,تُدمج تبويبًا,ملفُّ العقد,العقد,قالبُ ملفِّ الكيان,— غيرُ مبنية,لا
المالية والخزينة,عملي اليوم — محاسب الإدارة,acc_myday.php,تُحوَّل منظرًا,—,—,قالبُ السجلِّ الجدوليّ,— غيرُ مبنية,لا
المالية والخزينة,ميزانية إدارتي,acc_dept_budget.php,تُحوَّل منظرًا,—,—,قالبُ السجلِّ الجدوليّ,— غيرُ مبنية,لا
المالية والخزينة,انحرافات الموازنة,acc_variance.php,تُحوَّل منظرًا,—,—,قالبُ السجلِّ الجدوليّ,— غيرُ مبنية,لا
