الشاشة,في النطاق المرحَّل,مخالفات البوابات الآن,خط الأساس البصري,الحالة
Governance/tech_gov_center.php,نعم,0,موجود,مُرحَّلة — بوابات صفر وخط أساس
Governance/design_system.php,نعم,0,موجود,مُرحَّلة — بوابات صفر وخط أساس
Governance/auth_profiles.php,نعم,0,موجود,مُرحَّلة — بوابات صفر وخط أساس
Governance/auth_grants.php,نعم,0,موجود,مُرحَّلة — بوابات صفر وخط أساس
Governance/impersonations.php,نعم,0,موجود,مُرحَّلة — بوابات صفر وخط أساس
Portal/ceo_board.php,نعم,0,موجود,مُرحَّلة — بوابات صفر وخط أساس
Portal/my_tasks.php,نعم,0,موجود,مُرحَّلة — بوابات صفر وخط أساس
Operations/sites_board.php,نعم,0,موجود,مُرحَّلة — بوابات صفر وخط أساس
Contracts/contracts.php,نعم,0,موجود,مُرحَّلة — بوابات صفر وخط أساس
Timesheet/timesheet.php,نعم,0,موجود,مُرحَّلة — بوابات صفر وخط أساس
Maintenance/orders.php,نعم,0,موجود,مُرحَّلة — بوابات صفر وخط أساس
Suppliers/supplier_profile.php,نعم,0,موجود,مُرحَّلة — بوابات صفر وخط أساس
Risk/risk_register.php,نعم,0,موجود,مُرحَّلة — بوابات صفر وخط أساس
FinRequests/request_form.php,نعم,0,موجود,مُرحَّلة — بوابات صفر وخط أساس
Finance/approvals_inbox.php,نعم,0,موجود,مُرحَّلة — بوابات صفر وخط أساس
